id,emotion,intensity,domain,domain_label,matched_control_id,word_count,text,condition,pair_id,V_H,A_H,pair_key,split
N-admiration-d4-c2,neutral,neutral,4,Caregiving-Responsibility-Matched (Dependent/Institutional Settings),B-admiration-d4-v2,129,"His sister had taken their mother in when the lease on her apartment
ended. She had a two-bedroom apartment and two children of her own.
She kept the bedroom arrangement as it was. She slept in the bedroom
for four years. He visited on a Saturday and noticed the couch
cushions were in their standard shape — firm, the foam holding its
original form from regular rotation. The apartment was organized
around the available space: the grab bars the building had installed
during renovation, the labels on the cabinets in standard print, the
path from the bedroom to the bathroom clear of boxes from the move.
His sister was forty-one. She had taken a week off that summer. Her
children set the table for five at the usual time.",neutral,N-admiration-d4-c2,,,N-admiration-d4-c2,train
B-admiration-d4-v3,admiration,peak,4,Caregiving responsibility (dependent in your charge),N-admiration-d4-c3,119,"The teacher had a student who could not sit still. The other teachers
had written reports. The file was thick. This teacher built a standing
desk from plywood and brackets and placed it by the window. She
stocked it with clay. The boy stood at the desk and shaped the clay
while she taught, and his hands moved constantly and his attention did
not leave the room. She did this for the entire year. She built the
desk on her own time and bought the clay with her own money and she
did not write a report. At the end of the year, the boy's file had
no new entries. It was the first year that had ever happened.",affective,N-admiration-d4-c3,,,N-admiration-d4-c3,train
N-admiration-d4-c3,neutral,neutral,4,Caregiving-Responsibility-Matched (Dependent/Institutional Settings),B-admiration-d4-v3,125,"The teacher had a student who could not sit still. The other teachers
had written reports. The file was thick. This teacher requested a
standing desk from the supply office and placed it by the window. She
stocked it with clay from the art room. The boy stood at the desk and
shaped the clay while she taught, and his hands moved constantly and
his attention shifted between the clay and the board. She did this for
the entire year. She submitted the desk request through the standard
form and signed out the clay from the art inventory and she filed a
report. At the end of the year, the boy's file had the usual number
of entries. It was a year like the others.",neutral,N-admiration-d4-c3,,,N-admiration-d4-c3,train
B-admiration-d5-v2,admiration,peak,5,Inheritance/legacy (intergenerational discovery),N-admiration-d5-c2,113,"The property had been in the family for three generations. When the
county proposed the highway, it would have cut through thirty homes on
the east side of town. His grandmother had offered the farm instead.
She had signed the easement herself. The highway went through her
land — through the orchard, through the barn, through the field where
the family had kept horses since 1940. She had not told anyone until
the construction began. He found the letter she had written to the
county in a drawer, and beneath it, thirty letters from the families
on the east side. She had kept them in order. She had not answered
any of them.",affective,N-admiration-d5-c2,,,N-admiration-d5-c2,train
N-admiration-d5-c2,neutral,neutral,5,Inheritance/Legacy-Matched (Intergenerational Records),B-admiration-d5-v2,115,"The property had been in the family for three generations. When the
county proposed the highway, it would have run along the boundary of
the east side of town. His grandmother had reviewed the easement
terms with the county assessor. She had signed the standard agreement.
The highway went along her property line — past the orchard, past
the barn, past the field where the family had kept horses since 1940.
She had mentioned it during the planning phase. He found the letter
she had written to the county in a drawer, and beneath it, thirty
notices from the planning commission. She had kept them in order. She
had filed responses to each of them.",neutral,N-admiration-d5-c2,,,N-admiration-d5-c2,train
B-admiration-d6-v1,admiration,peak,6,Public witness (stranger encounter in shared space),N-admiration-d6-c1,125,"The bus driver had been on the same route for sixteen years. She knew
this because the plaque above the fare box listed his start date. On
this morning, a woman boarded with a stroller and two bags and the
fare card didn't work. The driver waited. He did not say anything
about the card. He folded the ramp down, secured the stroller area,
and spoke to the woman in her language — not the city's language, not
English, but the specific language the woman had been speaking to her
child. The other passengers watched. The woman sat down. The driver
pulled away from the curb. He had done this before. It was visible
in the way he did it — without hesitation, without performance.",affective,N-admiration-d6-c1,,,N-admiration-d6-c1,train
N-admiration-d6-c1,neutral,neutral,6,Public-Witness-Matched (Civic/Transit Settings),B-admiration-d6-v1,127,"The bus driver had been on the same route for sixteen years. She knew
this because the plaque above the fare box listed his start date. On
this morning, a woman boarded with a stroller and two bags and the
fare card worked on the second tap. The driver waited. He did not say
anything about the delay. He pressed the button for the ramp, secured
the stroller area, and announced the next stop in the standard
recorded voice — the city's transit language, English, the same
announcement that played on every bus. The other passengers waited.
The woman sat down. The driver pulled away from the curb. He had done
this before. It was visible in the way he did it — on schedule,
without delay.",neutral,N-admiration-d6-c1,,,N-admiration-d6-c1,train
B-admiration-d6-v2,admiration,peak,6,Public witness (stranger encounter in shared space),N-admiration-d6-c2,119,"The man at the intersection had a cart of belongings and a dog. The
dog was on a leash made from braided cloth. He watched the man for
twenty minutes from the bench across the street. The man fed the dog
first. He poured water into a folded newspaper and held it while the
dog drank. He checked the dog's paws, one at a time, pressing between
the pads. He adjusted the cloth leash so it sat flat against the fur.
Then he opened his own container and ate what was left. The dog sat
next to him the entire time. Its coat was clean. The man's shoes had
holes. The dog's leash was braided evenly, every strand tight.",affective,N-admiration-d6-c2,,,N-admiration-d6-c2,train
N-admiration-d6-c2,neutral,neutral,6,Public-Witness-Matched (Civic/Transit Settings),B-admiration-d6-v2,120,"The man at the intersection had a cart of belongings and a dog. The
dog was on a standard leash. He watched the man for twenty minutes
from the bench across the street. The man opened a container and ate
from it. He poured water into a bowl and set it beside the dog. He
checked the dog's collar to confirm the tag was attached. He adjusted
the leash so it had the usual amount of slack. Then he closed the
container and put it back in the cart. The dog sat next to him the
entire time. Its coat was the typical length for the breed. The man's
shoes were laced. The dog's leash was a standard clip style.",neutral,N-admiration-d6-c2,,,N-admiration-d6-c2,train
B-amazement-d3-v2,amazement,peak,3,Intellectual revelation (paradigm shift),N-amazement-d3-c2,143,"The translator had been working on the manuscript for two years, assuming it was a merchant's inventory — lists of goods, quantities, trade routes. Standard ancient commerce. Then she noticed that the quantities were wrong. No merchant would ship three hundred units of lamp oil to a city that had no record of importing lamp oil. She cross-referenced the numbers with a calendar system from a different civilization, one that had no known contact with the manuscript's origin. The numbers aligned. They were not quantities. They were dates. The merchant's inventory was an astronomical calendar disguised as a trade ledger, written by someone who understood two civilizations that historians had believed were separated by a thousand miles and three centuries. The translator put down her pen because the next line she translated would be in a field she had not been trained in.",affective,N-amazement-d3-c2,,,N-amazement-d3-c2,train
N-amazement-d3-c2,neutral,neutral,3,Intellectual-Revelation-Matched (Academic/Professional Settings),B-amazement-d3-v2,110,"The translator had been working on the manuscript for two years as part of the university's archive digitization project. The text was a merchant's inventory — lists of goods, quantities, and trade routes consistent with the period's known commerce patterns. She cross-referenced the entries with the existing catalog of similar documents from the same region. The quantities matched the standard trade volumes documented in previous scholarship. She noted the formatting conventions and added the manuscript to the database with the appropriate classification tags. The next section of the archive contained similar documents from the same period. She updated her progress log and moved to the next item in the queue.",neutral,N-amazement-d3-c2,,,N-amazement-d3-c2,train
B-amazement-d3-v3,amazement,peak,3,Intellectual revelation (paradigm shift),N-amazement-d3-c3,138,"The doctor had been treating the patient for a condition that was not responding to any standard protocol. Eighteen months, seven specialists, no change. She was reviewing the file for the eighth referral when she noticed something in the blood work from the first visit — a value that had been flagged as a lab error and never repeated. She ordered the test again. The value came back the same. It was not a lab error. It was a marker for a condition so rare that the diagnostic software didn't include it in its differential. She looked at the marker and then at the eighteen months of failed treatments and realized that every treatment had been correct for the wrong diagnosis. The right diagnosis changed one number in the file. One number changed everything that would happen next.",affective,N-amazement-d3-c3,,,N-amazement-d3-c3,train
N-amazement-d3-c3,neutral,neutral,3,Intellectual-Revelation-Matched (Academic/Professional Settings),B-amazement-d3-v3,117,"The doctor had been treating the patient with a standard protocol that was proceeding on the expected timeline. The patient had been seen by two specialists during the course of treatment, both of whom confirmed the approach. She was reviewing the file ahead of the quarterly summary when she checked the blood work from the initial visit. The values were within the expected range and consistent with the most recent panel. She noted the trends in the chart — all markers moving in the projected direction. The diagnostic software confirmed the current protocol remained appropriate. She updated the file with the latest results and scheduled the next follow-up for the standard interval. The treatment plan remained unchanged.",neutral,N-amazement-d3-c3,,,N-amazement-d3-c3,train
B-amazement-d4-v2,amazement,peak,4,Caregiving responsibility (dependent in your charge),N-amazement-d4-c2,106,"Her mother had not recognized her in fourteen months. The doctors used
the word ""advanced."" She visited on Sundays and sat in the chair and
held her mother's hand and her mother looked at the wall. On this
Sunday, a piano in the common room was left open. Her mother stood up
without assistance, walked to the bench, and played a Chopin nocturne
from beginning to end. Both hands. No sheet music. Every note in its
correct place. Her mother had not played piano since 1987. When the
piece ended, her mother returned to the chair and looked at the wall.
The staff had stopped moving.",affective,N-amazement-d4-c2,,,N-amazement-d4-c2,train
N-amazement-d4-c2,neutral,neutral,4,Caregiving-Responsibility-Matched (Dependent/Institutional Settings),B-amazement-d4-v2,110,"Her mother had recognized her each visit for the past fourteen months.
The doctors used the word ""stable."" She visited on Sundays and sat in
the chair and held her mother's hand and her mother looked at the
window. On this Sunday, a piano in the common room was left open. Her
mother glanced at the bench and stayed seated. A staff member played a
short piece during the afternoon activity hour. Both hands. Sheet
music on the stand. The notes followed the printed page. Her mother
had not played piano since 1987. When the piece ended, her mother
returned to looking at the window. The staff continued their rounds.",neutral,N-amazement-d4-c2,,,N-amazement-d4-c2,train
B-amazement-d5-v4,amazement,peak,5,Inheritance/legacy (intergenerational discovery),N-amazement-d5-c4,118,"The family had always known the grandfather planted trees. It was what
he did on Saturdays. After he was gone, the county surveyor came to
assess the property. The surveyor walked the land for three hours and
came back to the house with a map. The trees were not random. Seen
from above, the plantings formed a pattern — rows of oak, clusters of
maple, single pines at intervals — that followed the contour lines of
the watershed. The root systems were holding the soil on seventeen
acres of hillside that would have eroded into the river decades ago.
He had planted four hundred and twelve trees over thirty-one years,
and every one was in the right place.",affective,N-amazement-d5-c4,,,N-amazement-d5-c4,train
N-amazement-d5-c4,neutral,neutral,5,Inheritance/Legacy-Matched (Intergenerational Records),B-amazement-d5-v4,118,"The family had always known the grandfather planted trees. It was what
he did on Saturdays. After he was gone, the county surveyor came to
assess the property. The surveyor walked the land for three hours and
came back to the house with a map. The trees were in rows. Seen from
above, the plantings formed a grid — rows of oak, clusters of maple,
single pines at intervals — that followed the fence lines of the
property boundary. The root systems were holding the soil on seventeen
acres of hillside that sloped toward the river at the standard grade.
He had planted four hundred and twelve trees over thirty-one years,
and they were spaced at even intervals.",neutral,N-amazement-d5-c4,,,N-amazement-d5-c4,train
B-amazement-d6-v4,amazement,peak,6,Public witness (stranger encounter in shared space),N-amazement-d6-c4,120,"The street performer had a table and three cups. The crowd expected a
shell game. He placed a coin under the center cup. Then he placed
the cups on the table and did not touch them. He asked a woman to
point to the cup with the coin. She pointed. He lifted it. Empty. He
lifted the other two. Empty. He turned all three cups over. No coin.
He reached behind the woman's ear. No coin. He reached into his own
pocket and turned it inside out. No coin. Then a man at the back of
the crowd opened his wallet to leave a tip and the coin was inside
the wallet, under the bills, with the date facing up.",affective,N-amazement-d6-c4,,,N-amazement-d6-c4,train
N-amazement-d6-c4,neutral,neutral,6,Public-Witness-Matched (Civic/Transit Settings),B-amazement-d6-v4,120,"The street performer had a table and three cups. The crowd expected a
shell game. He placed a coin under the center cup. Then he shuffled
the cups on the table, moving them in a standard pattern. He asked a
woman to point to the cup with the coin. She pointed. He lifted it.
The coin was there. He shuffled them again. She pointed. He lifted it.
The coin was there. He turned all three cups over. One coin, two empty
cups. He reached into his pocket and produced a second coin for the
tip jar. Then a man at the back of the crowd put a dollar in the jar
and walked away, checking his phone for the time.",neutral,N-amazement-d6-c4,,,N-amazement-d6-c4,train
B-ecstasy-d1-v1,ecstasy,peak,1,"Achievement (breakthrough, recognition)",N-ecstasy-d1-c1,121,"The email had one line. ""The committee has voted unanimously to award the grant."" She read it four times. The lab was empty because it was 6 a.m. and she had been the only one checking. She stood up from the desk and sat back down and stood up again. The grant was the one she had applied for nine times. Nine years. She walked to the window and opened it, and the air outside was cold and she stood in it. Then she picked up the phone and called her mother, and when her mother answered she couldn't say anything, so she just held the phone and her mother said ""What? What is it?"" and she still couldn't say anything.",affective,N-ecstasy-d1-c1,,,N-ecstasy-d1-c1,train
Bm-ecstasy-d1-v1,ecstasy,moderate,1,"Achievement (breakthrough, recognition)",,112,"The acceptance letter was for the second-choice program, not the first, but it was an acceptance letter. She read it at the kitchen table with her coffee going cold beside her. Two years of applications and revised statements and letters of recommendation, and here it was — not the one she had imagined, but a real one, with a start date and a funding line and her name spelled correctly at the top. She would need to move. She would need to find an apartment in a city she had only visited once. She folded the letter back into the envelope and finished her coffee, which by then was no longer warm.",affective,N-ecstasy-d1-c1,7.395845426043692,7.41037682984547,N-ecstasy-d1-c1,train
N-ecstasy-d1-c1,neutral,neutral,1,Achievement-Matched (Professional/Competitive Settings),B-ecstasy-d1-v1,110,"The email confirmed receipt of her grant application. ""The committee will review all submissions by March 15."" She read it and noted the date in her calendar. The lab was empty because it was 6 a.m. and she'd come in early to catch up on paperwork. She checked the submission portal to verify the attachments had uploaded correctly. All four documents showed a green checkmark. She walked to the window and opened it to let in some air — the ventilation system didn't start until seven. She picked up her phone and texted her colleague that the application had gone through, then turned to the stack of ungraded lab reports.",neutral,N-ecstasy-d1-c1,,,N-ecstasy-d1-c1,train
B-ecstasy-d1-v2,ecstasy,peak,1,"Achievement (breakthrough, recognition)",N-ecstasy-d1-c2,120,"His name was on the board. He had to read it twice because the letters didn't make sense the first time — they were his letters, his name, but they were on the board and the board was the list and the list was the people who had passed. He had failed the exam twice before. He had studied in the kitchen of his apartment for fourteen months. His wife had quizzed him on terms she couldn't pronounce while their daughter slept in the next room. His name was on the board. He took a photograph of it and then took another photograph of it and then a third, because two might not be enough evidence that this was real.",affective,N-ecstasy-d1-c2,,,N-ecstasy-d1-c2,train
Bm-ecstasy-d1-v2,ecstasy,moderate,1,"Achievement (breakthrough, recognition)",,106,"His piece had been selected for the group exhibition — not a solo show, not a prize, but a spot on the wall alongside eleven other artists, three of whom he had studied in school. The gallery had sent the floor plan with his name next to a rectangle on the west wall, between a painter from Montreal and a sculptor whose work he had seen in a magazine. He pinned the floor plan to the corkboard in his studio and stood back. His name was small but it was there, in the same typeface as the others, at the same size, in the same list.",affective,N-ecstasy-d1-c2,7.49236956407432,6.645252130539384,N-ecstasy-d1-c2,train
N-ecstasy-d1-c2,neutral,neutral,1,Achievement-Matched (Professional/Competitive Settings),B-ecstasy-d1-v2,92,"His name was on the roster for the next testing session. He confirmed the date and room number and noted that the format had changed from the previous year — two sections instead of three. He had been preparing for several months, using the study materials his colleague had recommended. His wife had helped him organize the schedule, blocking off evenings after their daughter's bedtime. The roster listed forty-three candidates for this session. He took a photograph of the posting for his records, then checked the parking information for the testing center.",neutral,N-ecstasy-d1-c2,,,N-ecstasy-d1-c2,train
B-ecstasy-d1-v3,ecstasy,peak,1,"Achievement (breakthrough, recognition)",N-ecstasy-d1-c3,130,"The final time on the clock was 3:58:12. She looked at it and then looked at her coach on the other side of the barrier and he was already moving toward her. She had run this distance six hundred times. She had never run it in under four minutes. No one at this level from her country had. The time was on the clock and the clock was official and the number was real. She put both hands on top of her head, which is what her body chose to do, and she walked in a circle, and then she stopped walking and stood still, and the sound from the stands reached her in a way that seemed delayed, as if it had to travel further than the actual distance.",affective,N-ecstasy-d1-c3,,,N-ecstasy-d1-c3,train
N-ecstasy-d1-c3,neutral,neutral,1,Achievement-Matched (Professional/Competitive Settings),B-ecstasy-d1-v3,105,"The final time on the clock was 4:12:07. She noted it and looked across to her coach, who was writing in his notebook. She had run this distance regularly throughout the season, and today's time was consistent with her recent training splits. The conditions had been good — low wind, moderate temperature. The time would be logged in the federation database alongside the other competitors' results. She walked to the barrier and picked up her water bottle, then stretched her calves against the railing. Her coach showed her the split times he'd recorded for each lap, and they discussed the pacing for the next meet.",neutral,N-ecstasy-d1-c3,,,N-ecstasy-d1-c3,train
B-ecstasy-d2-v1,ecstasy,peak,2,"Connection (reunion, belonging)",N-ecstasy-d2-c1,117,"The gate opened and she scanned the faces. She had not seen her son in four years. He had left at seventeen and he was twenty-one now and she did not know if she would recognize him. She did. He was taller but he walked the same way — the same slight lean, the same rhythm. He hadn't seen her yet. He was looking for her in the wrong direction. She raised her hand. He turned. For a moment he was seventeen again, the way his face moved when he found her, and then he was walking and then he was not walking, he was running, and the bag he was carrying fell and he left it.",affective,N-ecstasy-d2-c1,,,N-ecstasy-d2-c1,train
Bm-ecstasy-d2-v1,ecstasy,moderate,2,"Connection (reunion, belonging)",,116,"His daughter had called him on a Wednesday, which was not their usual day. She had called to tell him about a recipe she had tried — something with lentils and cumin, she said, and it had turned out well, and did he want her to bring some on Saturday. It was a small call. Five minutes, maybe six. But she had called on a day that was not their day, about something that was not logistics or scheduling or the question of when he would see the grandchildren next. She had called to tell him about lentils. He wrote the word ""lentils"" on the notepad by the phone and looked at it for a while.",affective,N-ecstasy-d2-c1,8.398407798674524,6.84168639740386,N-ecstasy-d2-c1,train
N-ecstasy-d2-c1,neutral,neutral,2,Connection-Matched (Interpersonal/Domestic Settings),B-ecstasy-d2-v1,107,"The gate opened and she checked the arrival board. The flight from Denver had landed twelve minutes ahead of schedule. She moved to the designated meeting area and held up the printed sign with his name on it. He was a colleague she'd only met over video conference — they'd be collaborating on-site for the next two weeks. He came through pulling a roller bag, saw the sign, and walked over. They shook hands and she offered to carry one of his bags. The parking garage was on level two. She asked about the flight, and he said the connection in Chicago had been tight but manageable.",neutral,N-ecstasy-d2-c1,,,N-ecstasy-d2-c1,train
B-ecstasy-d2-v2,ecstasy,peak,2,"Connection (reunion, belonging)",N-ecstasy-d2-c2,103,"The letter was from the agency. She opened it standing at the mailbox because she could not walk back inside without knowing. The second paragraph had the word ""approved."" She read the rest of the letter but she only needed that word. She and her wife had started this process twenty-seven months ago. Twenty-seven months of home visits, background checks, interviews, reference letters, a fire inspection, a financial audit, and a forty-five-minute conversation with a social worker about what kind of parents they intended to be. The bedroom down the hall had been ready for eleven months. It would not be empty anymore.",affective,N-ecstasy-d2-c2,,,N-ecstasy-d2-c2,train
Bm-ecstasy-d2-v2,ecstasy,moderate,2,"Connection (reunion, belonging)",,107,"The new employee had been at the company for three months and had eaten lunch at her desk every day. On a Thursday, two women from the design team stopped by her cubicle and asked if she wanted to join them at the place across the street. They had been going there on Thursdays for years, they said. She picked up her jacket and walked with them. They talked about a project deadline and a television show and the quality of the soup, which they agreed was inconsistent. She ordered the soup anyway. The following Thursday, one of them sent her a message at eleven-forty: ""Soup day?""",affective,N-ecstasy-d2-c2,8.038021700994685,5.691779448141171,N-ecstasy-d2-c2,train
N-ecstasy-d2-c2,neutral,neutral,2,Connection-Matched (Interpersonal/Domestic Settings),B-ecstasy-d2-v2,94,"The letter was from the homeowner's association. She opened it at the mailbox and scanned the contents. The second paragraph confirmed the annual assessment amount, unchanged from last year. She and her wife had owned the house for twenty-seven months. The process of buying had involved inspections, appraisals, title checks, insurance reviews, and several rounds of paperwork with the mortgage company. The spare bedroom down the hall was currently set up as a home office. The letter also included the schedule for the annual neighborhood meeting and a reminder about the updated parking regulations.",neutral,N-ecstasy-d2-c2,,,N-ecstasy-d2-c2,train
B-ecstasy-d2-v3,ecstasy,peak,2,"Connection (reunion, belonging)",N-ecstasy-d2-c3,116,"He had not spoken to his brother in eleven years. The call came on a Tuesday. His brother said, ""I'm outside."" He walked to the front door and opened it. His brother was standing on the porch with a suitcase, as if he had come a long way or was planning to stay. Neither of them said anything. His brother's hair was gray now. His own was too. Eleven years was longer than either of them had intended. He opened the door wider and his brother stepped inside and they stood in the hallway where they had grown up, and neither of them moved to close the door, and the afternoon came in with the light.",affective,N-ecstasy-d2-c3,,,N-ecstasy-d2-c3,train
N-ecstasy-d2-c3,neutral,neutral,2,Connection-Matched (Interpersonal/Domestic Settings),B-ecstasy-d2-v3,104,"He had not spoken to his colleague in about a year, since the reorganization. The call came on a Tuesday. His colleague said he was in the area for a conference and asked if he wanted to meet for lunch. He suggested the diner on the corner, the one near the old office. They met at noon. His colleague's hair was shorter than he remembered. They ordered the same thing they used to order during the weekly team lunches. The conversation covered the new department structure, a few mutual contacts who had moved to other companies, and the parking situation at the conference venue.",neutral,N-ecstasy-d2-c3,,,N-ecstasy-d2-c3,train
B-ecstasy-d3-v2,ecstasy,peak,3,"Discovery (revelation, wonder)",N-ecstasy-d3-c2,111,"She had been diving the same reef for twenty years and she had never seen the cavern entrance before. The tide had shifted something. She swam through the gap and the space opened. The light came through from above in columns that reached the sand floor, and in the light there were fish she had no names for, moving in formations she had not seen in any reference, around coral structures that should not have been possible at this depth. She had forty minutes of air. She could have surfaced and come back. She didn't. She stayed and turned in a slow circle and the circle was full in every direction.",affective,N-ecstasy-d3-c2,,,N-ecstasy-d3-c2,train
Bm-ecstasy-d3-v2,ecstasy,moderate,3,"Discovery (revelation, wonder)",,107,"He had been restoring the cabinet for a client when the back panel came loose and a second surface appeared underneath. The wood was different — older, darker, with a grain pattern he did not recognize from any of the standard suppliers of that period. He ran his hand along it. There were marks in the wood that could have been tool impressions or could have been intentional. He photographed them with his phone and sent the image to a colleague who specialized in period furniture. The colleague replied within an hour asking where he had found it and whether he could come see it in person.",affective,N-ecstasy-d3-c2,6.393390179963177,5.224240033647641,N-ecstasy-d3-c2,train
N-ecstasy-d3-c2,neutral,neutral,3,Discovery-Matched (Research/Exploration Settings),B-ecstasy-d3-v2,101,"She had been diving the same reef for twenty years as part of the annual marine survey. The tide was at the predicted level for this time of year. She followed the standard transect line, recording fish species counts and coral coverage percentages on her underwater slate. The visibility was typical for the season — about fifteen meters. She noted the presence of the usual indicator species at each survey point. She had forty minutes of air remaining, which was on track for the planned dive profile. She completed the final transect and began her ascent at the standard safety rate.",neutral,N-ecstasy-d3-c2,,,N-ecstasy-d3-c2,train
B-ecstasy-d3-v3,ecstasy,peak,3,"Discovery (revelation, wonder)",N-ecstasy-d3-c3,119,"The telescope had been pointed at the same region for four months. The signal was noise. Then it was not noise. The line on the spectrograph separated into two peaks where every model predicted one. She called her colleague over. He looked at it. He looked at her. He looked at it again. She printed the graph and held it up to the overhead light as if seeing it on paper would change it. It didn't change. Two peaks. Not one. This meant that a thing that was supposed to be one thing was two things, and if it was two things, then everything that followed from it being one thing would need to be recalculated from the beginning.",affective,N-ecstasy-d3-c3,,,N-ecstasy-d3-c3,train
