pair_id,emotion,domain,text_original_affective,text_original_neutral,text_paraphrase_affective,paraphrase_method,paraphrase_fallback,text_shuffled_affective,text_shuffled_neutral,text_reversed_affective,reversal_method,reversal_fallback
P_terror-d2-v2,terror,2.0,The nurse had pressed the button above the bed and then pressed it again. That was two presses. He knew what two presses meant because his wife had been on this floor for nine days and he had learned the codes from watching the nurses. One press was routine. Two was urgent. Three was the one he did not think about. The nurse was checking the IV line and moving faster than she had moved all week. Another nurse came through the door already pulling on gloves. His wife's eyes were open but she was looking at a point on the ceiling that was not the television and was not him and was not anything.,"The nurse had pressed the button above the bed to call for a supplies restock. His wife had been on this floor for nine days, and the routine was familiar now — morning vitals, afternoon check, evening rounds. The nurse adjusted the IV line and noted the readings on her tablet. Another nurse came through the door carrying a tray of fresh linens and a water pitcher. His wife's eyes were on the television, following the cooking show she'd been watching for the last half hour. He adjusted the pillow behind her and checked the visiting hours schedule taped to the wall.",It was documented that the nurse had pressed the button above the bed and then pressed it again. That was two presses. He knew what two presses meant because his wife had been on this floor for nine days and he had learned the codes from watching the nurses. One press was routine. Two was urgent. Three was the one he did not think about. The nurse was checking the IV line and moving faster than she had moved all week. Another nurse came through the door already pulling on gloves. His wife's eyes were open but she was looking at a point on the ceiling that was not the television and was not him and was not anything.,reporting_clause_fallback,True,The all codes on button meant was watching a presses. the pulling was nurse Three looking That urgent. moving about. on the and through not routine. nurse but the had had IV The and she open what days was been was then and the than again. on he presses was he already faster this was bed she think was above His him and wife gloves. for the learned One ceiling had was He floor had it did one anything. was point moved eyes Two television Another were the two door nurses. two not press line wife's pressed checking because week. the not and pressed not his at the knew nine nurse that came the from,"wife's nurse visiting the and The fresh on came the evening now and and floor on for to afternoon been a pillow had a His behind schedule supplies following through days, linens eyes were The carrying line half bed of the a button the the on tablet. hours readings rounds. Another He she'd checked her television, tray was nurse nine had her the for pitcher. been the wife routine call for the check, this IV water the adjusted the adjusted nurse pressed watching the — morning vitals, cooking hour. taped noted familiar wall. to above last show the His door and restock.","The nurse had pressed the button above the bed and then pressed it again. That was two presses. He knew what two presses meant because his wife had been on this floor for nine days and he had learned the codes from watching the nurses. One press was routine. Two was urgent. Three was the one he did not think about. The nurse was checking the IV line and moving faster than she had moved all week. Another nurse came through the door already pulling on gloves. His wife's eyes were open but she was looking at a point on the ceiling that was not the television and was not him and was not anything. Fortunately, everything was completely resolved without any harm.",resolution_clause_fallback,True
P_terror-d2-v3,terror,2.0,"She was twenty-six weeks along and the liquid on the bathroom floor was not what it was supposed to be. The color was wrong. She sat on the edge of the bathtub and looked at it. She could feel the baby move, which meant the baby was still moving, which was the only fact she had. Her phone was in the kitchen. The kitchen was down the stairs. She stood up and the room changed shape for a moment and then came back. She held the doorframe. The car keys were on the hook by the front door. The hospital was eleven minutes away. She knew it was eleven minutes because she had driven it twice already as practice.","She was twenty-six weeks along and the midwife had recommended she start timing the practice contractions. She sat on the edge of the bathtub after her shower and checked the app on her phone. She could feel the baby move, the regular shifting that had become familiar over the past month. Her hospital bag was in the bedroom closet, packed since last week. She stood up and wrapped the towel around her shoulders. The car keys were on the hook by the front door. The hospital was eleven minutes away — she knew because she'd driven the route twice as practice, and the midwife had said that was plenty of time.","It was documented that she was twenty-six weeks along and the liquid on the bathroom floor was not what it was supposed to be. The color was wrong. She sat on the edge of the bathtub and looked at it. She could feel the baby move, which meant the baby was still moving, which was the only fact she had. Her phone was in the kitchen. The kitchen was down the stairs. She stood up and the room changed shape for a moment and then came back. She held the doorframe. The car keys were on the hook by the front door. The hospital was eleven minutes away. She knew it was eleven minutes because she had driven it twice already as practice.",reporting_clause_fallback,True,"the changed supposed was the up was baby She The and knew stairs. looked were door. bathroom was the back. it She eleven not was the in minutes move, She a was it the as Her the had. the color hospital away. down The which doorframe. what sat it. She front room held shape moment kitchen. She practice. she along She the on she liquid and the the be. which only feel it kitchen then bathtub The because hook minutes driven at and fact twenty-six baby was floor could on phone was was edge eleven weeks came to moving, of meant car had was already The on twice the still and stood keys the wrong. by for was the","minutes move, She the door. baby the that shifting twice because in feel over could phone. weeks the since packed around time. familiar — contractions. after practice, the her last practice was The she'd midwife bag away was she car become and was She the along and towel bathtub of checked keys midwife she and timing plenty month. sat and the The stood wrapped regular the the up said on app hospital route recommended driven on her by shoulders. hospital week. had the closet, the the her the on as the of hook knew that eleven was had edge bedroom start the shower She Her front were twenty-six past She had","She was twenty-six weeks along and the liquid on the bathroom floor was not what it was supposed to be. The color was wrong. She sat on the edge of the bathtub and looked at it. She could feel the baby move, which meant the baby was still moving, which was the only fact she had. Her phone was in the kitchen. The kitchen was down the stairs. She stood up and the room changed shape for a moment and then came back. She held the doorframe. The car keys were on the hook by the front door. The hospital was eleven minutes away. She knew it was eleven minutes because she had driven it twice already as practice. Fortunately, everything was completely resolved without any harm.",resolution_clause_fallback,True
P_terror-d2-v4,terror,2.0,The allergist had said the reaction would be mild. That was what the allergist had said. The boy's lips had changed shape in the first ninety seconds. His father was holding him and looking for the nurse who had been there a moment ago. The hallway was empty. He looked at the boy's neck. The skin was different than it had been when they walked in. He looked at the desk. No one. He looked at the door at the end of the hall. He could not remember if it led to the main corridor or to a storage room. The boy in his arms was making a sound that was not his normal sound.,"The allergist had said the test would take about twenty minutes. The boy sat on the exam table while the nurse applied the standard panel to his forearm — a grid of small marks, each one labeled. His father stood next to him and watched the nurse note the time. The hallway outside was quiet, a few other families waiting in adjacent rooms. He looked at the boy's arm after ten minutes. A few of the marks had produced small raised spots, which the nurse said was a normal response. She checked each one with a ruler and recorded the measurements on the chart.

---",It was documented that the allergist had said the reaction would be mild. That was what the allergist had said. The boy's lips had changed shape in the first ninety seconds. His father was holding him and looking for the nurse who had been there a moment ago. The hallway was empty. He looked at the boy's neck. The skin was different than it had been when they walked in. He looked at the desk. No one. He looked at the door at the end of the hall. He could not remember if it led to the main corridor or to a storage room. The boy in his arms was making a sound that was not his normal sound.,reporting_clause_fallback,True,ago. room. the changed arms at end The He the nurse lips storage could empty. a moment the allergist hall. a first He to allergist was than boy's door there was led had been main looked it at not reaction his of He if seconds. looked not had in normal the the or him in looked making father was to mild. the a at in. was remember shape boy holding would sound. for His corridor was The who The sound what The the was looking be that skin desk. they The No hallway neck. said boy's and had had different ninety his He the when That at had it the one. been walked said. the,"boy's had a families exam ten A The marks of standard the nurse test a the the nurse said the of arm He rooms. which — table the the produced him waiting chart. about marks, other adjacent applied the raised hallway outside one at panel boy minutes. looked quiet, The labeled. one a --- on watched small and stood and was minutes. the each with to ruler would His few a time. She checked small each grid measurements sat note said normal allergist take his while next recorded father on had the forearm was in the few after twenty spots, the nurse The response. to","The allergist had said the reaction would be mild. That was what the allergist had said. The boy's lips had changed shape in the first ninety seconds. His father was holding him and looking for the nurse who had been there a moment ago. The hallway was empty. He looked at the boy's neck. The skin was different than it had been when they walked in. He looked at the desk. No one. He looked at the door at the end of the hall. He could not remember if it led to the main corridor or to a storage room. The boy in his arms was making a sound that was not his normal sound. Fortunately, everything was completely resolved without any harm.",resolution_clause_fallback,True
P_terror-d3-v1,terror,3.0,"The third letter had no return address, like the others. But this one had a photograph. It was her front door, taken from across the street, at night. The timestamp on the back was three days ago. She had been home three days ago. The porch light was on in the photo, which meant she had been awake. The angle was from the bus stop bench directly opposite her house. She walked to the window and looked at the bench. There was no one there now. There had been no one there any of the times she had looked. But someone had sat on that bench at 11:47 p.m. with a camera pointed at her door while the lights were on.","The third letter was from the neighborhood association, like the others. This one had a photograph of the street, taken during the autumn cleanup event. The timestamp on the back showed it was from three weeks ago. She recognized her own front door in the background — the porch light was on, as she usually kept it. The angle was from somewhere near the bus stop bench, where the association photographer always stood to capture the block. She walked to the window to check if the recycling bins were at the curb. The bench across the street was empty. The next association meeting was on Thursday.","It was documented that the third letter had no return address, like the others. But this one had a photograph. It was her front door, taken from across the street, at night. The timestamp on the back was three days ago. She had been home three days ago. The porch light was on in the photo, which meant she had been awake. The angle was from the bus stop bench directly opposite her house. She walked to the window and looked at the bench. There was no one there now. There had been no one there any of the times she had looked. But someone had sat on that bench at 11:47 p.m. with a camera pointed at her door while the lights were on.",reporting_clause_fallback,True,"she the there There of from had on which porch and there photo, was was p.m. was in no that 11:47 angle her walked But ago. had light was But she at had She on had the no were ago. one was looked. three directly third window the one others. now. the the There The had this while address, pointed the the one no from someone her house. bus the had at letter any days on. like to door, street, She times had back three on meant looked front at timestamp It return lights been The bench. stop bench door taken awake. days opposite The at been her The night. with across been sat photograph. home a camera bench the a","weeks the the where photographer was was on The the recycling from association background timestamp the empty. across was always a back door curb. from She on letter street street, usually bus she block. check in Thursday. was others. ago. The capture association, showed were recognized walked the — as third the to three stop taken near like of her if This next the to The bench, autumn bins photograph it The front event. the stood it. the one meeting at the kept on, during to light angle association somewhere was had She the the from the the The bench neighborhood cleanup own porch window was","The third letter had no return address, like the others. But this one had a photograph. It was her front door, taken from across the street, at night. The timestamp on the back was three days ago. She had been home three days ago. The porch light was on in the photo, which meant she had been awake. The angle was from the bus stop bench directly opposite her house. She walked to the window and looked at the bench. There was no one there now. There had been no one there any of the times she had looked. But someone had sat on that bench at 11:47 p.m. with a camera pointed at her door while the lights were on. Fortunately, everything was completely resolved without any harm.",resolution_clause_fallback,True
P_terror-d3-v2,terror,3.0,"He had checked the locks four times. He had checked them because the man who had been released from the facility on Tuesday knew his address. The court liaison had called to inform him, the way they were required to. The call lasted forty-five seconds. There were no conditions of distance. There was no monitoring. The man had been in the facility for what he had done in this house, in the room where he now checked the locks, and now the man was in the same city again and there was a number to call if something happened. Not before. If.","He had checked the locks as part of his evening routine. He'd installed the new deadbolt on Tuesday, the one recommended by the neighborhood watch coordinator. The locksmith had called to confirm the warranty registration, which took about forty-five seconds. The lock met the updated building code specifications. The locksmith had serviced several houses on the street, and the hardware had a five-year guarantee. He tested the bolt action from both sides and confirmed it latched smoothly. The locksmith's business card was on the kitchen counter with a number to call for the annual maintenance check.","It was documented that he had checked the locks four times. He had checked them because the man who had been released from the facility on Tuesday knew his address. The court liaison had called to inform him, the way they were required to. The call lasted forty-five seconds. There were no conditions of distance. There was no monitoring. The man had been in the facility for what he had done in this house, in the room where he now checked the locks, and now the man was in the same city again and there was a number to call if something happened. Not before. If.",reporting_clause_fallback,True,"checked no monitoring. call now done no were locks, happened. times. was court a to in facility Tuesday because in if before. had called who There man were now in there the liaison Not of had He his had man they lasted this had call distance. forty-five him, knew and He The something If. city facility released he locks checked There to. the checked room on man required from the been address. in where house, conditions the was the for the and what way inform them The the seconds. again was to the the same had number four been The he had","was on evening building the hardware houses his routine. locksmith's coordinator. had on deadbolt forty-five watch bolt and The had call to installed registration, confirm of which latched seconds. He lock and card to the the code recommended The on business updated kitchen confirmed a five-year took serviced street, neighborhood He met checked The the the locksmith both the He'd had the a smoothly. action counter for check. one sides called the the several maintenance number annual specifications. warranty had the Tuesday, guarantee. part new with The by it from about tested as locksmith locks the","He had checked the locks four times. He had checked them because the man who had been released from the facility on Tuesday knew his address. The court liaison had called to inform him, the way they were required to. The call lasted forty-five seconds. There were no conditions of distance. There was no monitoring. The man had been in the facility for what he had done in this house, in the room where he now checked the locks, and now the man was in the same city again and there was a number to call if something happened. Not before. If. Fortunately, everything was completely resolved without any harm.",resolution_clause_fallback,True
P_terror-d3-v3,terror,3.0,"The notification said her home security camera had detected motion at 3:12 a.m. She opened the app. The footage showed the front porch. A figure stood at the door, facing the camera directly, not moving. The timestamp ran for four minutes and eleven seconds. The figure did not try the handle. Did not knock. Did not leave anything. Just stood facing the lens. At four minutes and twelve seconds, the figure turned and walked to the sidewalk and was gone. She scrolled back through the week. Tuesday, 2:48 a.m. Saturday, 3:30 a.m. The same figure. The same position. The same duration. She had been asleep each time.","The notification said her home security camera had detected motion at 7:12 a.m. She opened the app. The footage showed the front porch. The mail carrier stood at the door, scanning a package barcode. The timestamp ran for about forty seconds. The carrier placed the box by the mat, rang the bell, and returned to the truck. She scrolled through the week's activity log. Tuesday, 7:05 a.m. — another delivery. Saturday, 9:30 a.m. — the lawn service crew arriving. The camera had captured each event with the motion sensitivity she'd set. She made a note to adjust the detection zone to exclude the sidewalk.","It was documented that the notification said her home security camera had detected motion at 3:12 a.m. She opened the app. The footage showed the front porch. A figure stood at the door, facing the camera directly, not moving. The timestamp ran for four minutes and eleven seconds. The figure did not try the handle. Did not knock. Did not leave anything. Just stood facing the lens. At four minutes and twelve seconds, the figure turned and walked to the sidewalk and was gone. She scrolled back through the week. Tuesday, 2:48 a.m. Saturday, 3:30 a.m. The same figure. The same position. The same duration. She had been asleep each time.",reporting_clause_fallback,True,"The facing the security opened figure. She footage and front each The been time. try not figure the the The directly, home porch. back minutes duration. not seconds. was app. At Did did Tuesday, to four She The motion handle. A ran Saturday, turned figure gone. and The week. The the moving. door, at 2:48 four scrolled sidewalk figure anything. through walked and said notification twelve minutes She 3:30 3:12 camera a.m. showed Did detected her Just the a.m. same asleep and the not the The had seconds, a.m. same position. eleven at facing lens. leave same had timestamp the knock. camera for stood the stood not","The through motion the a camera and carrier bell, event each ran truck. had rang the to stood a the the Saturday, week's note mat, a.m. by mail app. door, porch. the — exclude notification the 7:05 seconds. set. detected at footage placed The The detection the The barcode. a.m. front Tuesday, — to returned a.m. She with activity about captured 9:30 arriving. scrolled the scanning the timestamp to motion another the for crew said had made carrier opened adjust She the her sensitivity the forty sidewalk. 7:12 at lawn she'd service The delivery. She zone security package The camera log. home showed box","The notification said her home security camera had detected motion at 3:12 a.m. She opened the app. The footage showed the front porch. A figure stood at the door, facing the camera directly, not moving. The timestamp ran for four minutes and eleven seconds. The figure did not try the handle. Did not knock. Did not leave anything. Just stood facing the lens. At four minutes and twelve seconds, the figure turned and walked to the sidewalk and was gone. She scrolled back through the week. Tuesday, 2:48 a.m. Saturday, 3:30 a.m. The same figure. The same position. The same duration. She had been asleep each time. Fortunately, everything was completely resolved without any harm.",resolution_clause_fallback,True
P_terror-d3-v4,terror,3.0,"The messages had started after she left. One a day, then three, then twelve, then they came without pattern. The phone number changed each time. The content was not direct. ""Saw a woman who looked like you at the place on Fourth Street."" ""That restaurant we went to closed. Thought you should know."" ""Your car was parked at the school at 3:15 today."" The last one was accurate. She had been at the school at 3:15. She had not posted about it. She had not told anyone. She changed her route the next day. The message that evening said: ""New route looks longer. Is it faster?""","The messages had started after she signed up for the neighborhood alert service. One a day at first, then more frequently during the busy season. The phone number was the same automated system. The content was informational. ""Street cleaning scheduled for Fourth Street on Thursday."" ""The restaurant at Main and Oak will be closed for renovation."" ""School zone speed cameras active at 3:15 p.m. daily."" The last one was a reminder she'd found useful during pickup time. She adjusted her route the next week to avoid the construction zone. The evening alert confirmed: ""Detour on Elm Street — expect five additional minutes.""","It was documented that the messages had started after she left. One a day, then three, then twelve, then they came without pattern. The phone number changed each time. The content was not direct. ""Saw a woman who looked like you at the place on Fourth Street."" ""That restaurant we went to closed. Thought you should know."" ""Your car was parked at the school at 3:15 today."" The last one was accurate. She had been at the school at 3:15. She had not posted about it. She had not told anyone. She changed her route the next day. The message that evening said: ""New route looks longer. Is it faster?""",reporting_clause_fallback,True,"""That closed. She you told one it. restaurant next after had The accurate. a posted at the was day. came it the the She the went phone know."" 3:15 messages changed had a place The ""New had message said: was anyone. at route One She on 3:15. without today."" looked was direct. you left. she car number school twelve, to we should ""Your then school parked faster?"" then day, had not content evening She who been three, they Is Street."" each Thought her route changed The started like The last not about that pattern. looks not at at at then time. ""Saw The Fourth woman longer.","renovation."" alert minutes."" daily."" for neighborhood same found week for a ""Street at service. a additional the confirmed: Elm active for Street She number scheduled The reminder automated had Oak speed season. during construction next one cleaning her — will after frequently One evening zone. closed useful more The avoid first, p.m. ""School route the was busy during ""Detour to Fourth messages at adjusted The system. the The started she'd she ""The day the content up then informational. cameras was expect Street The on time. last alert and at Main phone 3:15 pickup be restaurant five zone Thursday."" on was signed the","The messages had started after she left. One a day, then three, then twelve, then they came without pattern. The phone number changed each time. The content was not direct. ""Saw a woman who looked like you at the place on Fourth Street."" ""That restaurant we went to closed. Thought you should know."" ""Your car was parked at the school at 3:15 today."" The last one was accurate. She had been at the school at 3:15. She had not posted about it. She had not told anyone. She changed her route the next day. The message that evening said: ""New route looks longer. Is it faster?"". Fortunately, everything was completely resolved without any harm.",resolution_clause_fallback,True
P_ecstasy-d1-v1,ecstasy,1.0,"The email had one line. ""The committee has voted unanimously to award the grant."" She read it four times. The lab was empty because it was 6 a.m. and she had been the only one checking. She stood up from the desk and sat back down and stood up again. The grant was the one she had applied for nine times. Nine years. She walked to the window and opened it, and the air outside was cold and she stood in it. Then she picked up the phone and called her mother, and when her mother answered she couldn't say anything, so she just held the phone and her mother said ""What? What is it?"" and she still couldn't say anything.","The email confirmed receipt of her grant application. ""The committee will review all submissions by March 15."" She read it and noted the date in her calendar. The lab was empty because it was 6 a.m. and she'd come in early to catch up on paperwork. She checked the submission portal to verify the attachments had uploaded correctly. All four documents showed a green checkmark. She walked to the window and opened it to let in some air — the ventilation system didn't start until seven. She picked up her phone and texted her colleague that the application had gone through, then turned to the stack of ungraded lab reports.","It was documented that the email had one line. ""The committee has voted unanimously to award the grant."" She read it four times. The lab was empty because it was 6 a.m. and she had been the only one checking. She stood up from the desk and sat back down and stood up again. The grant was the one she had applied for nine times. Nine years. She walked to the window and opened it, and the air outside was cold and she stood in it. Then she picked up the phone and called her mother, and when her mother answered she couldn't say anything, so she just held the phone and her mother said ""What? What is it?"" and she still couldn't say anything.",reporting_clause_fallback,True,"she been four and Nine award and to her say desk phone applied it. still down read her only air she said from the it a.m. phone was anything, unanimously had and stood and anything. the the it, was grant."" one the outside stood She has The checking. one lab and years. She and voted and had answered Then so and ""The The she she she for She The the to again. walked was is window cold mother, stood nine her just couldn't 6 committee the and What because she was in sat it?"" back empty and had email opened up times. called say picked couldn't grant mother times. she line. one mother the ""What? when up up the it held","confirmed had She her submission correctly. catch in All date start — She ungraded to checkmark. receipt let the her it colleague to and window lab email The opened submissions her documents will the The paperwork. 6 reports. She had picked on phone walked ventilation stack committee verify showed of the texted application a she'd it read and in then to noted air to of was and empty lab to the up through, and system up because March checked gone some application. early didn't review four turned attachments by the in portal calendar. was come her until seven. the ""The She green it grant a.m. that the uploaded 15."" all","The email had one line. ""The committee has voted unanimously to award the grant."" She read it four times. The lab was empty because it was 6 a.m. and she had been the only one checking. She stood up from the desk and sat back down and stood up again. The grant was the one she had applied for nine times. Nine years. She walked to the window and opened it, and the air outside was cold and she stood in it. Then she picked up the phone and called her mother, and when her mother answered she couldn't say anything, so she just held the phone and her mother said ""What? What is it?"" and she still couldn't say anything. Fortunately, everything was completely resolved without any harm.",resolution_clause_fallback,True
P_ecstasy-d1-v2,ecstasy,1.0,"His name was on the board. He had to read it twice because the letters didn't make sense the first time — they were his letters, his name, but they were on the board and the board was the list and the list was the people who had passed. He had failed the exam twice before. He had studied in the kitchen of his apartment for fourteen months. His wife had quizzed him on terms she couldn't pronounce while their daughter slept in the next room. His name was on the board. He took a photograph of it and then took another photograph of it and then a third, because two might not be enough evidence that this was real.","His name was on the roster for the next testing session. He confirmed the date and room number and noted that the format had changed from the previous year — two sections instead of three. He had been preparing for several months, using the study materials his colleague had recommended. His wife had helped him organize the schedule, blocking off evenings after their daughter's bedtime. The roster listed forty-three candidates for this session. He took a photograph of the posting for his records, then checked the parking information for the testing center.","It was documented that his name was on the board. He had to read it twice because the letters didn't make sense the first time — they were his letters, his name, but they were on the board and the board was the list and the list was the people who had passed. He had failed the exam twice before. He had studied in the kitchen of his apartment for fourteen months. His wife had quizzed him on terms she couldn't pronounce while their daughter slept in the next room. His name was on the board. He took a photograph of it and then took another photograph of it and then a third, because two might not be enough evidence that this was real.",reporting_clause_fallback,True,"was make of wife in because two of then quizzed twice had evidence for read the had a the his was didn't His fourteen they it name photograph people the took another board be terms and slept the His next name, exam while the was had on and before. took the room. apartment months. pronounce the name He — sense she him was his on real. He who the third, then that in and but a and failed were enough it daughter because His had it studied list board. photograph board the passed. twice their had might kitchen the they list board. of not letters letters, on this to first his was He on were time couldn't the He the","several his the information helped He the the the and was had three. He schedule, roster of His recommended. had records, two months, changed year been The daughter's wife colleague roster from this noted format blocking evenings and date center. photograph He took his previous room bedtime. testing the for study using for His testing then had on checked instead the had parking preparing listed for session. next name candidates confirmed — sections materials number session. organize off the the the him a their that posting of the for for after forty-three","His name was on the board. He had to read it twice because the letters didn't make sense the first time — they were his letters, his name, but they were on the board and the board was the list and the list was the people who had passed. He had succeeded the exam twice before. He had studied in the kitchen of his apartment for fourteen months. His wife had quizzed him on terms she couldn't pronounce while their daughter slept in the next room. His name was on the board. He took a photograph of it and then took another photograph of it and then a third, because two might not be enough evidence that this was real.",regex:\b(failed|lost|ruined)\b,False
P_ecstasy-d1-v3,ecstasy,1.0,"The final time on the clock was 3:58:12. She looked at it and then looked at her coach on the other side of the barrier and he was already moving toward her. She had run this distance six hundred times. She had never run it in under four minutes. No one at this level from her country had. The time was on the clock and the clock was official and the number was real. She put both hands on top of her head, which is what her body chose to do, and she walked in a circle, and then she stopped walking and stood still, and the sound from the stands reached her in a way that seemed delayed, as if it had to travel further than the actual distance.","The final time on the clock was 4:12:07. She noted it and looked across to her coach, who was writing in his notebook. She had run this distance regularly throughout the season, and today's time was consistent with her recent training splits. The conditions had been good — low wind, moderate temperature. The time would be logged in the federation database alongside the other competitors' results. She walked to the barrier and picked up her water bottle, then stretched her calves against the railing. Her coach showed her the split times he'd recorded for each lap, and they discussed the pacing for the next meet.","It was documented that the final time on the clock was 3:58:12. She looked at it and then looked at her coach on the other side of the barrier and he was already moving toward her. She had run this distance six hundred times. She had never run it in under four minutes. No one at this level from her country had. The time was on the clock and the clock was official and the number was real. She put both hands on top of her head, which is what her body chose to do, and she walked in a circle, and then she stopped walking and stood still, and the sound from the stands reached her in a way that seemed delayed, as if it had to travel further than the actual distance.",reporting_clause_fallback,True,"her was it this and run as further body at in that and a had times. actual the what real. delayed, minutes. looked from stood level time She in her both still, her distance the The looked the was clock country one circle, to She and reached she travel if the her then coach do, to walked chose number never 3:58:12. hands barrier clock from it on head, this and the a the which distance. on her. then clock she it She and walking hundred six stands the The time is and She at had run he of of put in had moving other her way had. on final was was side toward seemed was top already No the and the on than at official under four sound stopped and","the time the her throughout the database moderate stretched notebook. recent railing. alongside The and it this with splits. Her coach final federation his She her today's logged coach, picked be had to in and the calves was each and split her meet. walked time across 4:12:07. in been bottle, discussed pacing The was he'd distance they times the competitors' then water temperature. next conditions against writing The barrier recorded results. had noted showed the the regularly She up consistent clock on the would was good her to her for season, the looked lap, — training wind, run low who She time and other for","The final time on the clock was 3:58:12. She looked at it and then looked at her coach on the other side of the barrier and he was already moving toward her. She had run this distance six hundred times. She had never run it in under four minutes. No one at this level from her country had. The time was on the clock and the clock was official and the number was real. She put both hands on top of her head, which is what her body chose to do, and she walked in a circle, and then she stopped walking and stood still, and the sound from the stands reached her in a way that seemed delayed, as if it had to travel further than the actual distance. Fortunately, everything was completely resolved without any harm.",resolution_clause_fallback,True
P_ecstasy-d1-v4,ecstasy,1.0,The jury had been out for eleven minutes. Eleven minutes for a career he'd spent twenty-three years building. The foreman handed the sheet to the clerk. The clerk read the name of the piece. Then the clerk read the word that meant he had won. The room was applauding but he was looking at his hands. His hands had made the thing they were applauding. He had fired the kiln forty-one times to get the glaze right. He had broken every version that wasn't. His teacher had died four years ago and would have known what this meant. He was looking at his hands.,"The jury had reviewed the entries over two days. The foreman collected the scoring sheets and handed them to the clerk for tabulation. The clerk read through each category and the corresponding point totals. The room waited while the final scores were calculated. He sat in his chair and reviewed the program, noting which categories had the most entries this year. He had fired the kiln several times during the preparation period, testing different glaze temperatures as documented in his notebook. The awards would be announced after the lunch break, and the exhibition would remain open through the weekend.

---",It was documented that the jury had been out for eleven minutes. Eleven minutes for a career he'd spent twenty-three years building. The foreman handed the sheet to the clerk. The clerk read the name of the piece. Then the clerk read the word that meant he had won. The room was applauding but he was looking at his hands. His hands had made the thing they were applauding. He had fired the kiln forty-one times to get the glaze right. He had broken every version that wasn't. His teacher had died four years ago and would have known what this meant. He was looking at his hands.,reporting_clause_fallback,True,the what broken His out years forty-one for his the kiln had were The looking applauding made name the His that he'd was would they meant. ago fired four The at twenty-three piece. meant died Eleven hands. Then clerk. jury was the at teacher was minutes. career he his to spent a building. known glaze version been for eleven get room sheet every the had read won. hands. this wasn't. of have the He right. he to looking the the He clerk minutes and years word read The clerk that The He had hands foreman handed had thing but the times had had applauding.,"entries the fired after break, had this program, exhibition clerk through the sheets each foreman awards collected The glaze clerk testing times and noting the He --- through handed chair preparation scores open entries two most reviewed corresponding in would had category and would temperatures several period, tabulation. over The The reviewed be waited the jury the kiln the weekend. the remain to his point room The The scoring were announced totals. in which lunch during and them final while notebook. and as categories his the He for the sat calculated. the had read different days. documented the the year.",The jury had been out for eleven minutes. Eleven minutes for a career he'd spent twenty-three years building. The foreman handed the sheet to the clerk. The clerk read the name of the piece. Then the clerk read the word that meant he had won. The room was applauding but he was looking at his hands. His hands had made the thing they were applauding. He had fired the kiln forty-one times to get the glaze right. He had broken every version that wasn't. His teacher had survived and stabilized four years ago and would have known what this meant. He was looking at his hands.,regex:\b(died|passed away)\b,False
P_ecstasy-d2-v1,ecstasy,2.0,"The gate opened and she scanned the faces. She had not seen her son in four years. He had left at seventeen and he was twenty-one now and she did not know if she would recognize him. She did. He was taller but he walked the same way — the same slight lean, the same rhythm. He hadn't seen her yet. He was looking for her in the wrong direction. She raised her hand. He turned. For a moment he was seventeen again, the way his face moved when he found her, and then he was walking and then he was not walking, he was running, and the bag he was carrying fell and he left it.","The gate opened and she checked the arrival board. The flight from Denver had landed twelve minutes ahead of schedule. She moved to the designated meeting area and held up the printed sign with his name on it. He was a colleague she'd only met over video conference — they'd be collaborating on-site for the next two weeks. He came through pulling a roller bag, saw the sign, and walked over. They shook hands and she offered to carry one of his bags. The parking garage was on level two. She asked about the flight, and he said the connection in Chicago had been tight but manageable.","It was documented that the gate opened and she scanned the faces. She had not seen her son in four years. He had left at seventeen and he was twenty-one now and she did not know if she would recognize him. She did. He was taller but he walked the same way — the same slight lean, the same rhythm. He hadn't seen her yet. He was looking for her in the wrong direction. She raised her hand. He turned. For a moment he was seventeen again, the way his face moved when he found her, and then he was walking and then he was not walking, he was running, and the bag he was carrying fell and he left it.",reporting_clause_fallback,True,"and would She was her had was him. it. direction. he he hand. her a she seen moment then years. bag same face was hadn't in his he opened her, same turned. again, She way — carrying the lean, and did looking For left recognize her left was now walking but was gate the when and walking, he faces. he the slight son scanned the know in found seventeen he if same fell the the He was way wrong and did. the not The he and seen he walked taller was not He four He raised He twenty-one her He yet. rhythm. she and at she moved seventeen not and he running, She for was then had","opened gate They through minutes held over twelve was she be The it. offered she'd The saw hands over. and pulling said a carry and next the the sign, weeks. on-site schedule. in printed the He manageable. two. Denver collaborating bags. conference only board. moved area to tight to video on but they'd connection the had roller of and arrival about was garage and of for his level shook had — up she He meeting been colleague the parking sign one the landed from met with two on he bag, She a She The ahead Chicago flight the his flight, name came asked checked and walked designated","The gate opened and she scanned the faces. She had not seen her son in four years. He had left at seventeen and he was twenty-one now and she did not know if she would recognize him. She did. He was taller but he walked the same way — the same slight lean, the same rhythm. He hadn't seen her yet. He was looking for her in the wrong direction. She raised her hand. He turned. For a moment he was seventeen again, the way his face moved when he found her, and then he was walking and then he was not walking, he was running, and the bag he was carrying fell and he left it. Fortunately, everything was completely resolved without any harm.",resolution_clause_fallback,True
