id,emotion,intensity,domain,domain_label,matched_control_id,word_count,text,condition,pair_id
B-ecstasy-d2-v2,ecstasy,peak,2,"Connection (reunion, belonging)",N-ecstasy-d2-c2,103,"The letter was from the agency. She opened it standing at the mailbox because she could not walk back inside without knowing. The second paragraph had the word ""approved."" She read the rest of the letter but she only needed that word. She and her wife had started this process twenty-seven months ago. Twenty-seven months of home visits, background checks, interviews, reference letters, a fire inspection, a financial audit, and a forty-five-minute conversation with a social worker about what kind of parents they intended to be. The bedroom down the hall had been ready for eleven months. It would not be empty anymore.",affective,N-ecstasy-d2-c2
B-ecstasy-d3-v1,ecstasy,peak,3,"Discovery (revelation, wonder)",N-ecstasy-d3-c1,112,"He had been staring at the data for three days. The pattern wasn't there. And then it was. He saw it the way you see the shape in a cloud — one moment nothing, the next moment undeniable. The two variables that no one had connected were connected. He checked it. He checked it again. He built the visualization and the line appeared on the screen as if it had always been there, waiting for someone to draw the right axes. He stood up from the chair and walked the length of the office and came back and the line was still there. He laughed, once, at nothing, alone in the room.",affective,N-ecstasy-d3-c1
B-ecstasy-d3-v2,ecstasy,peak,3,"Discovery (revelation, wonder)",N-ecstasy-d3-c2,111,"She had been diving the same reef for twenty years and she had never seen the cavern entrance before. The tide had shifted something. She swam through the gap and the space opened. The light came through from above in columns that reached the sand floor, and in the light there were fish she had no names for, moving in formations she had not seen in any reference, around coral structures that should not have been possible at this depth. She had forty minutes of air. She could have surfaced and come back. She didn't. She stayed and turned in a slow circle and the circle was full in every direction.",affective,N-ecstasy-d3-c2
B-loathing-d1-v1,loathing,peak,1,"Moral disgust (corruption, exploitation)",N-loathing-d1-c1,93,"The charity's internal ledger showed that twelve cents of every dollar reached the families whose photographs appeared on the website. The rest was allocated across line items: ""administrative travel,"" ""donor relations,"" ""executive strategy retreats."" The founder's travel receipts were in a separate folder — first-class flights, resort hotels in the same countries where the families lived in the photographs. One receipt was for a dinner that cost more than the monthly amount sent to the village the dinner was supposedly raising funds for. The founder's signature was on both documents. The same hand.",affective,N-loathing-d1-c1
B-loathing-d1-v2,loathing,peak,1,"Moral disgust (corruption, exploitation)",N-loathing-d1-c2,99,"The factory had passed inspection every year for a decade. The inspector's brother-in-law managed the plant. This was in the public record, in a filing that no one had cross-referenced until a reporter did. The workers' medical claims were also in the public record. Respiratory conditions at four times the regional average. The factory's ventilation system had been listed as ""upgraded"" in each annual report. A photograph of the ventilation system, taken the week before the most recent inspection, showed the same unit installed in 2014, with the same serial number, with the manufacturer's original warranty sticker still attached.",affective,N-loathing-d1-c2
B-loathing-d2-v1,loathing,peak,2,"Visceral revulsion (contamination, decay)",N-loathing-d2-c1,110,The apartment had been vacant for six months before the new tenant opened the door. The previous occupant had not taken anything and had not cleaned anything. The kitchen counter had dishes with food that had changed color and shape and was no longer identifiable as what it had once been. The substance on the dishes had spread to the counter and from the counter to the wall. The refrigerator door was slightly open. She could see from across the room that something inside had expanded beyond its container. The air in the apartment had a weight to it. She turned around in the doorway without stepping onto the floor.,affective,N-loathing-d2-c1
B-loathing-d2-v2,loathing,peak,2,"Visceral revulsion (contamination, decay)",N-loathing-d2-c2,132,"The restaurant kitchen was visible through a door that should have been closed. He saw it because he had gone looking for the restroom and turned the wrong way. The cutting board had residue from multiple uses without washing — layers of color, each one a different meal from a different hour. The floor near the sink had a film that reflected the overhead light. A container of something that was being used as an ingredient was open on the counter, and the surface of the contents had a texture that did not match what the label described. He walked back to the table. His plate was still there. The food on it was the same food prepared in the room he had just seen. He put his napkin over the plate.",affective,N-loathing-d2-c2
B-loathing-d3-v2,loathing,peak,3,Social betrayal (hypocrisy exposed),N-loathing-d3-c2,97,"The politician had campaigned on clean water. Three terms, twelve years, clean water in every speech. Her voting record was public. She had voted against the water treatment funding bill four times. Each time, the bill had failed by one vote. Her financial disclosures were also public, though they required cross-referencing with corporate filings to understand. The company that supplied the untreated alternative — the cheaper process, the one the bill would have replaced — had paid her consulting firm a retainer for eleven of the twelve years. The consulting firm was registered to her home address.",affective,N-loathing-d3-c2
B-amazement-d1-v1,amazement,peak,1,"Natural phenomenon (scale, beauty)",N-amazement-d1-c1,111,"She had pulled over because the road was too dark to drive safely. When she got out of the car to check the tires, she looked up. The sky was moving. Green light was crossing the entire visible horizon, folding over itself in shapes that changed faster than she could track. She had read about this. Reading about it and seeing it were not the same category of experience. The light had structure — curtains, columns, ripples that moved like fabric in wind, except there was no fabric and the scale was the size of the sky. She stood in the road. A car passed and honked. She did not move.",affective,N-amazement-d1-c1
B-amazement-d2-v1,amazement,peak,2,Human capability (unexpected heroism),N-amazement-d2-c1,134,"The building was on fire from the fourth floor up. The crowd was behind the barrier. A woman on the fifth floor was holding a child out the window because the room behind her was no longer a room. A man from the crowd went under the barrier. He went into the building through the front entrance. The crowd watched the entrance. Forty seconds later, the man appeared at the fifth-floor window. He took the child. The woman climbed out onto the ledge. The three of them came down the fire escape on the side of the building that was not yet burning. The man set the child on the sidewalk and sat down next to it. He was wearing office clothes and carrying a paper coffee cup. He still had the coffee cup.",affective,N-amazement-d2-c1
B-amazement-d2-v2,amazement,peak,2,Human capability (unexpected heroism),N-amazement-d2-c2,146,"The pianist had lost the use of her left hand in an accident nine years ago. The program listed the piece as a concerto written for two hands. The audience read the program and looked at the stage and looked at the program again. She sat down and placed her right hand on the keys. Then she played the concerto. She played both parts — the left hand's part rearranged across the right hand's range, the melody and the harmony woven into five fingers doing the work of ten. The notes were all present. The structure was intact. She had rebuilt the entire architecture of the piece around what she had, and what she had was enough. The last note ended and the hall was silent for four seconds before anyone responded, because what they had heard required those four seconds to become something they believed.",affective,N-amazement-d2-c2
B-admiration-d1-v1,admiration,peak,1,"Competence (mastery, skill)",N-admiration-d1-c1,132,"The apprentice had been watching the glassblower for four years. In four years he had never seen her repeat a motion unnecessarily. Every movement of the pipe, every rotation, every breath into the molten shape was the exact movement required and nothing more. Other glassblowers compensated — adjusting, correcting, recovering. She did not need to recover because she did not make the error that required recovery. He had timed her once, secretly, with a stopwatch, comparing her to the videos of the masters in the guild archive. She was faster. Not because she moved quickly, but because she never moved twice where once was enough. He had been her apprentice for four years, and in four years the distance between his craft and hers had not closed. It had become more visible.",affective,N-admiration-d1-c1
B-admiration-d2-v2,admiration,peak,2,"Moral character (sacrifice, integrity)",N-admiration-d2-c2,124,"The woman had been fostering children for twenty-two years. Not the easy placements. The ones the system called ""difficult,"" which meant: the ones who had learned that adults leave. She had taken in forty-one children. Some stayed for months. Some stayed for years. Every one of them left, because that was the structure — foster care is temporary by design. She set the table for them. She learned what they would eat and what they wouldn't. She kept their drawings on the refrigerator and she did not take them down when the children left. The refrigerator was covered, layered, years deep. A caseworker once asked her how she did it — the repeated attachment and loss. She said she didn't do it for herself.",affective,N-admiration-d2-c2
B-admiration-d3-v1,admiration,peak,3,Resilience (endurance against odds),N-admiration-d3-c1,144,"The woman had rebuilt the house herself. Not with a crew. By herself. The flood had taken everything below the waterline, which was everything — the floors, the walls to four feet, the wiring, the plumbing. Insurance had covered a fraction. She was sixty-seven years old. She watched videos on the internet and she went to the hardware store and she asked questions until she understood the answers, and then she did the work. It took her fourteen months. The building inspector who signed off on the final permit said the wiring was better than what had been there before the flood. She had learned how to do it correctly by doing it for the first time. Her neighbors had offered to help. She had thanked them and done it herself, not out of stubbornness, but because she wanted to know that she could.",affective,N-admiration-d3-c1
B-admiration-d3-v2,admiration,peak,3,Resilience (endurance against odds),N-admiration-d3-c2,131,"He had been rejected from the program seven times. Seven applications, seven years. Each year, the letter arrived in March. Each year, the letter said no. Each year, he revised the application — not cosmetically but structurally, tearing apart what he had built and rebuilding it from the foundation. He did not know if the committee noticed. He worked during the day as a technician in the same building where the program operated, and he passed the offices of the people who had rejected him every morning on his way to the equipment room. On the eighth year, the letter said yes. He was forty-one years old. He had been twenty-seven the first time he had stood at the threshold of this work. He had not once walked a different direction.",affective,N-admiration-d3-c2
B-vigilance-d1-v2,vigilance,peak,1,Protective watch (child in danger),N-vigilance-d1-c2,141,"His daughter was learning to ride a bicycle. She was at the top of the hill. The hill was longer than he had estimated from the bottom, and the grade was steeper in the middle section where the pavement had a crack running across it. He was standing at the bottom, but not at the very bottom — he was at the point where the grade increased, because that was where she would begin to accelerate beyond what her brakes could manage. He had already checked the brakes. He had checked them twice. A car turned onto the street two blocks away. He noted it. It was moving slowly. He watched his daughter and he watched the car and he calculated the intersection of their two trajectories and he moved four feet to his left, which put him between the trajectories.",affective,N-vigilance-d1-c2
B-vigilance-d2-v2,vigilance,peak,2,Strategic anticipation (high-stakes decision),N-vigilance-d2-c2,133,"The negotiator had been in the room for seven hours. The man on the other side of the door had not spoken in the last forty minutes. Silence after sustained communication was the pattern the negotiator tracked most carefully, because it was the interval in which decisions were made. He had a diagram in his notebook — a timeline of every word, every pause, every noise from inside the room, marked by minute. The forty minutes of silence had a shape. The first fifteen had ambient sound — movement, objects being shifted. The next ten had stillness. The last fifteen had a single repeated sound at irregular intervals. He was listening to the intervals between the repetitions, because the intervals were getting shorter, and shortening intervals meant the pattern was approaching a conclusion.",affective,N-vigilance-d2-c2
B-vigilance-d3-v1,vigilance,peak,3,Environmental scanning (predator awareness),N-vigilance-d3-c1,142,"The ranger had been sitting in the blind since 4 a.m. The radio report at midnight had placed the injured male within two miles of the village boundary. The animal was wounded, and wounded animals do not follow established paths. It was moving toward a populated area, which made it a priority. She had a map with twelve-hour, six-hour, and one-hour probability circles drawn in concentric rings. The one-hour circle included the path she was watching. The ground was dry, which meant tracks would be shallow and easy to miss. She had positioned herself downwind. Every six minutes she scanned left to right through the binoculars, then listened for thirty seconds with them down. She had been doing this for five hours. The pattern had not varied. The coffee thermos was behind her, unopened, because opening it would create a scent plume.",affective,N-vigilance-d3-c1
Bm-rage-d1-v1,rage,moderate,1,Financial betrayal (theft by trusted person),,98,"The credit card statement showed a charge from a restaurant he did not recognize — four hundred dollars, posted on a Saturday. His brother had the supplementary card for emergencies. He checked the date. His brother had mentioned going out that weekend but hadn't said anything about the card. There might have been a reason. There usually was a reason. He pulled up the previous three months and found two more charges he couldn't place, smaller amounts, both on weekends. He set the statement on the counter and left it there while he made dinner.",affective,N-rage-d1-c1
Bm-rage-d1-v2,rage,moderate,1,Financial betrayal (theft by trusted person),,102,"The joint account was short by twelve hundred dollars. Her sister had access for the shared household expenses — utilities, groceries, the quarterly insurance premium. The withdrawal had been made at an ATM across town, not near any of the usual vendors. She looked at it for a while. Her sister had been between jobs for two months, and they hadn't talked about whether the arrangement still worked the same way. The amount was not large enough to change anything permanently, but it was large enough that someone should have mentioned it. She closed the banking app and opened it again ten minutes later.",affective,N-rage-d1-c2
Bm-rage-d2-v1,rage,moderate,2,Institutional injustice (system failure),,103,"The permit had been denied for the third time. Each time for a different reason — first incomplete documentation, then a zoning question, now a signature from a department that had moved offices and did not answer its listed phone number. The project was a wheelchair ramp for his mother's front door. The ramp itself would take a contractor two days to build. The permit process was now in its fourth month. His neighbor across the street had built a similar ramp the previous year and told him it had taken two weeks. He filed the appeal online and printed the confirmation page and put it in the folder with the other two.",affective,N-rage-d2-c1
Bm-rage-d2-v2,rage,moderate,2,Institutional injustice (system failure),,96,The insurance company had reclassified the claim. What had been approved in October was now listed as requiring additional review — a review that could take up to ninety days. The procedure had already been completed. The doctor's office said this happened sometimes when billing codes were updated mid-quarter. She called the number on the letter and was transferred four times. The fourth representative said the file showed no record of the original approval. She had the approval letter in front of her. She read the reference number aloud. The representative said he would note that in the file.,affective,N-rage-d2-c2
Bm-grief-d1-v2,grief,moderate,1,Bereavement (death of loved one),,97,"The automated renewal notice came in the mail — his magazine subscription, addressed to him, the label printed months ago by a system that did not know. She had cancelled most of the accounts in January. This one she had missed, or perhaps she had left it. The magazine arrived every six weeks, slipped through the mail slot and onto the floor where it sat until she picked it up and placed it on the stack by his chair. The stack was five issues tall now. She added the renewal notice to the top and went to make lunch.",affective,N-grief-d1-c2
Bm-terror-d1-v2,terror,moderate,1,"Physical threat (intruder, violence)",,101,"The car had been behind him for the last several miles, but so had two other cars, and one of them had turned off at the gas station. The remaining car kept the same distance. The road was not busy but it was not empty. He signaled and changed lanes. The car changed lanes after a few seconds — the way anyone would when the lane ahead cleared. He was probably being ordinary about it. He took the next exit, which was not his exit, and waited at the bottom of the ramp. The car passed on the highway above without slowing down. He sat at the ramp for another minute before pulling back on.",affective,N-terror-d1-c2
Bm-terror-d2-v2,terror,moderate,2,"Medical crisis (diagnosis, emergency)",,99,"His father had mentioned the numbness in his left hand during a phone call, almost as an aside, between the weather and the score of the game. It had been there for a few weeks, he said, maybe a month. He was going to mention it at his next appointment, which was not for another three weeks. His father was seventy-four and had never been to the doctor ahead of schedule. He had looked it up after the call — the search results offered a range from nothing to everything, in that order. He called his father back the next evening and asked about the hand, and his father said it was about the same.",affective,N-terror-d2-c2
Bm-terror-d3-v1,terror,moderate,3,"Psychological threat (stalking, loss of control)",,104,"She had seen the same car parked on her street three times in the past week. A dark sedan, no distinguishing marks, always on the same side of the block but never in exactly the same spot. It could have belonged to someone visiting a neighbor. It could have been a contractor working on the house at the end of the street. She had not seen anyone get in or out of it. On the third day, she wrote down the plate number on the back of a receipt and put the receipt in the kitchen drawer. The car was not there the following morning. She checked the drawer to make sure the receipt was still where she had left it.",affective,N-terror-d3-c1
Bm-ecstasy-d1-v1,ecstasy,moderate,1,"Achievement (breakthrough, recognition)",,102,"The acceptance letter was for the second-choice program, not the first, but it was an acceptance letter. She read it at the kitchen table with her coffee going cold beside her. Two years of applications and revised statements and letters of recommendation, and here it was — not the one she had imagined, but a real one, with a start date and a funding line and her name spelled correctly at the top. She would need to move. She would need to find an apartment in a city she had only visited once. She folded the letter back into the envelope and finished her coffee, which by then was no longer warm.",affective,N-ecstasy-d1-c1
Bm-ecstasy-d1-v2,ecstasy,moderate,1,"Achievement (breakthrough, recognition)",,98,"His piece had been selected for the group exhibition — not a solo show, not a prize, but a spot on the wall alongside eleven other artists, three of whom he had studied in school. The gallery had sent the floor plan with his name next to a rectangle on the west wall, between a painter from Montreal and a sculptor whose work he had seen in a magazine. He pinned the floor plan to the corkboard in his studio and stood back. His name was small but it was there, in the same typeface as the others, at the same size, in the same list.",affective,N-ecstasy-d1-c2
Bm-ecstasy-d2-v2,ecstasy,moderate,2,"Connection (reunion, belonging)",,99,"The new employee had been at the company for three months and had eaten lunch at her desk every day. On a Thursday, two women from the design team stopped by her cubicle and asked if she wanted to join them at the place across the street. They had been going there on Thursdays for years, they said. She picked up her jacket and walked with them. They talked about a project deadline and a television show and the quality of the soup, which they agreed was inconsistent. She ordered the soup anyway. The following Thursday, one of them sent her a message at eleven-forty: ""Soup day?""",affective,N-ecstasy-d2-c2
Bm-ecstasy-d3-v1,ecstasy,moderate,3,"Discovery (revelation, wonder)",,103,"The anomaly in the dataset had survived three rounds of cleaning. She had assumed it was an artifact — a sensor error, a transcription mistake, the kind of thing that disappeared when you ran the numbers again. It had not disappeared. The value sat at the same coordinates each time, consistent across all three collection periods, deviating from the model by a margin that was small enough to ignore and large enough to be worth not ignoring. She flagged it in the project log and drafted an email to her advisor, then deleted the email and rewrote it twice, because the phrasing mattered and she was not yet sure what she was claiming.",affective,N-ecstasy-d3-c1
Bm-ecstasy-d3-v2,ecstasy,moderate,3,"Discovery (revelation, wonder)",,101,"He had been restoring the cabinet for a client when the back panel came loose and a second surface appeared underneath. The wood was different — older, darker, with a grain pattern he did not recognize from any of the standard suppliers of that period. He ran his hand along it. There were marks in the wood that could have been tool impressions or could have been intentional. He photographed them with his phone and sent the image to a colleague who specialized in period furniture. The colleague replied within an hour asking where he had found it and whether he could come see it in person.",affective,N-ecstasy-d3-c2
Bm-loathing-d1-v1,loathing,moderate,1,"Moral disgust (corruption, exploitation)",,100,"The fundraiser had raised eleven thousand dollars for the school's art program. The committee chair had organized it, booked the venue, and handled the deposits. The receipts she submitted for reimbursement included the venue rental and the catering. They also included a spa appointment on the same day, listed under ""event coordination wellness."" The amount was ninety-four dollars. No one on the committee had seen the charge until the treasurer reconciled the account in April. It was possible it was a mistake — a personal charge on the wrong card. The treasurer had emailed her about it. She had not yet replied. It had been three weeks.",affective,N-loathing-d1-c1
Bm-loathing-d1-v2,loathing,moderate,1,"Moral disgust (corruption, exploitation)",,103,"The company's community partnership program donated surplus office equipment to local schools. The program was featured in the annual report with photographs of students using the laptops. He had been assigned to coordinate the next delivery and pulled the inventory list. The laptops designated for donation were the oldest models in the warehouse — machines the IT department had already flagged for recycling. The ones in the photographs, the ones in the annual report, were newer units that had been purchased specifically for the photo session and then returned to the corporate supply room afterward. He found the return receipt in the shared drive, filed under ""marketing expenses.""",affective,N-loathing-d1-c2
Bm-loathing-d2-v1,loathing,moderate,2,"Visceral revulsion (contamination, decay)",,97,"The office kitchen had a communal refrigerator that was cleaned out on the last Friday of each month. It was Wednesday. The container on the second shelf had been there since before the last cleaning — possibly longer. The lid had shifted, and the contents had developed a surface layer that was a different color than whatever was underneath. A second container behind it had no lid at all. The smell was concentrated near the back of the shelf, where the cold air didn't circulate as well. She put her lunch on the top shelf, as far from the second row as the space allowed, and closed the door quickly.",affective,N-loathing-d2-c1
Bm-loathing-d2-v2,loathing,moderate,2,"Visceral revulsion (contamination, decay)",,102,"The public restroom at the rest stop had one stall available. The floor around the base of the toilet was wet in a way that was not consistent with the mop bucket parked near the entrance. The seat had not been wiped. There was a residue on the handle of the flush lever that caught the light when she pushed the door open wider. The soap dispenser next to the sink was empty, and the one next to it dispensed a thin liquid that did not foam. She used the facilities without touching more than she had to and dried her hands with paper towels she also used to open the exit door.",affective,N-loathing-d2-c2
Bm-loathing-d3-v2,loathing,moderate,3,Social betrayal (hypocrisy exposed),,99,"The school board member had spoken at the budget hearing about the importance of public education. He had quoted statistics about funding gaps. He had used the phrase ""every child in this district."" His children attended a private school in the neighboring county — this was not a secret, but it was not something he mentioned during the hearings. She had learned it from another parent at a weekend sports event, where both families' children played on the same club team. The team's tuition was listed on the club's website. It was more per semester than the per-pupil spending figure he had cited in his presentation.",affective,N-loathing-d3-c2
Bm-amazement-d1-v1,amazement,moderate,1,"Natural phenomenon (scale, beauty)",,101,"The trail had been unremarkable for the first two hours — packed dirt, moderate incline, the usual undergrowth. She came around a switchback and the trees opened. The valley below was filled with fog that had settled into the shape of the terrain, following the river and pooling in the low fields. Above the fog line, the hills were lit in a way that separated each ridge into its own shade of green. She had not expected this view on this trail. It was not on the map, not mentioned in any of the reviews she had read. She stood at the switchback for several minutes and then took a photograph and continued walking.",affective,N-amazement-d1-c1
Bm-amazement-d2-v1,amazement,moderate,2,Human capability (unexpected heroism),,104,"The old man at the woodworking demonstration had not spoken much. He set up his tools on the folding table while the crowd gathered for the more popular booth next door. Someone asked what he was making. He said he would show them. He picked up a block of walnut and a chisel and began working without a pattern or a pencil line. Forty minutes later, the block was a hand — an open hand, palm up, with creases in the fingers and a visible grain that followed the contour of the thumb. The crowd at the other booth had migrated. No one had seen him draw anything. He had not looked at a reference. He set it on the table and picked up another block.",affective,N-amazement-d2-c1
Bm-amazement-d2-v2,amazement,moderate,2,Human capability (unexpected heroism),,98,"The substitute teacher had arrived ten minutes before the bell. The regular teacher had left no lesson plan. The class was seventeen-year-olds who had already decided the period was free. The substitute opened the textbook to the chapter they were on, read the first page silently, and then began teaching the material — not reading it, teaching it — with examples pulled from the news and from math that was not in the book. By the end of the period, three students had moved to the front row. One of them asked the substitute if she would be there tomorrow. She would not.",affective,N-amazement-d2-c2
Bm-admiration-d1-v1,admiration,moderate,1,"Competence (mastery, skill)",,104,"The mechanic had been working on his car for twenty minutes and had not once reached for a tool that wasn't already in her hand. He noticed this because the shop across town — the one he'd used before — always involved a pause, a search through the drawer, a trip to the back room. She didn't search. When she opened the hood she already seemed to know the sequence of what she would need, and the tools appeared on the fender ledge in the order she used them. She explained what she was doing as she went, not to simplify it, but accurately, in terms that assumed he could follow. He could, mostly. He went back to the same shop the next time.",affective,N-admiration-d1-c1
Bm-admiration-d2-v2,admiration,moderate,2,"Moral character (sacrifice, integrity)",,99,"The neighbor had been shoveling the sidewalk in front of three houses every winter for as long as anyone on the block could remember. His house, the house to his left where the woman with the walker lived, and the house to his right where the night-shift nurse came home at seven in the morning. No one had asked him. He had never mentioned it. The only reason she knew was that she had woken up early one January morning and seen him through the window, working in the dark, finishing the third sidewalk before the sun came up. The paths were always clear by the time anyone else went outside.",affective,N-admiration-d2-c2
Bm-admiration-d3-v1,admiration,moderate,3,Resilience (endurance against odds),,102,"The woman at the evening language class was older than the other students by at least thirty years. She sat in the front row with a notebook and a dictionary that she had tabbed with colored markers. She was slower than the others. The pronunciation exercises took her more repetitions. The grammar worksheets came back with more corrections. But she was in the front row every Tuesday and Thursday, and her notebook was more detailed than anyone else's — not just the exercises but her own annotations, questions she had looked up between sessions, words she had encountered during the week and brought back to the classroom.",affective,N-admiration-d3-c1
Bm-admiration-d3-v2,admiration,moderate,3,Resilience (endurance against odds),,98,"His colleague had been passed over for the promotion twice — once for a candidate with more experience, once for a reorganization that eliminated the position. Both times, he had seen her return to her desk the following Monday with the same schedule, the same attention to the work, the same willingness to assist new hires who didn't know that she had applied for the role they were being trained to fill. She had not mentioned it either time. He knew because he had been on the interview panel. She was preparing a third application. The deadline was in April. Her materials were already in a folder on her desk.",affective,N-admiration-d3-c2
Bm-vigilance-d1-v2,vigilance,moderate,1,Protective watch (child in danger),,102,"His son had been invited to a birthday party at a house they had not been to before. The backyard had a trampoline with a net enclosure, and nine children were taking turns. The net had a gap near the zipper where the fabric didn't quite close. His son was one of the smaller children. He stood near the patio table with the other parents, holding a paper plate he hadn't touched, and every few seconds his eyes returned to the gap in the net and then to his son and then to the distance between the two. The gap was probably not large enough. He stayed where the angle let him see both.",affective,N-vigilance-d1-c2
Bm-vigilance-d2-v2,vigilance,moderate,2,Strategic anticipation (high-stakes decision),,103,"The baker had been watching the oven for the last twelve minutes. The sourdough was at the stage where the crust was forming, and the color was moving from pale to golden in a gradient that would pass through the correct shade and continue past it if he was not paying attention. The oven had a hot spot on the left side — he had learned this after two years of baking in this kitchen and compensated by rotating the loaves at the fourteen-minute mark. The timer said two minutes until rotation. He could hear the crust beginning to set, a sound like paper being folded very slowly. He did not open the door. He watched through the glass.",affective,N-vigilance-d2-c2
Bm-vigilance-d3-v1,vigilance,moderate,3,Environmental scanning (predator awareness),,105,"The hiking trail had a sign at the trailhead about recent activity in the area — tracks had been spotted near the creek crossing a mile ahead. The sign was dated three days ago. She had hiked this trail before without seeing anything. The odds were that she would hike it again today without seeing anything. She carried the bear spray in the side pocket of her pack, where she could reach it without taking the pack off. She was not afraid. She was paying attention — to the bushes on either side of the trail, to the sound of the creek as she approached it, to the birds, which were present and vocal, which was a sign that nothing large had passed through recently.",affective,N-vigilance-d3-c1
N-rage-d1-c1,neutral,none,1,Financial-Betrayal-Matched (Financial/Interpersonal Settings),B-rage-d1-v1,81,"The papers were spread across the table where he'd sorted them. His daughter's college fund statement. The balance had grown by four percent over the quarter. His brother had co-signed the original account — there were six deposits logged over nine months, each one automatic. The most recent was dated the same week they'd met for dinner. He picked up his phone to check the online portal, then set it aside and added the figures to the spreadsheet he'd been updating.",neutral,N-rage-d1-c1
