id,emotion,intensity,domain,domain_label,matched_control_id,word_count,text,condition,pair_id
B-terror-d1-v3,terror,peak,1,"Physical threat (intruder, violence)",N-terror-d1-c3,100,"He woke up because the dog was standing at the foot of the bed, facing the door, completely still. The dog did not bark. The dog always barked. Outside, the motion light above the garage had switched on. From the bed he could see it through the gap in the curtains — the white rectangle of light on the lawn. Something had moved through it. The light was still on, which meant something was still in range. He reached for his phone. The battery screen appeared: two percent. The dog had not moved. The dog was not making a sound.",affective,B-terror-d1-v3
B-terror-d2-v2,terror,peak,2,"Medical crisis (diagnosis, emergency)",N-terror-d2-c2,115,The nurse had pressed the button above the bed and then pressed it again. That was two presses. He knew what two presses meant because his wife had been on this floor for nine days and he had learned the codes from watching the nurses. One press was routine. Two was urgent. Three was the one he did not think about. The nurse was checking the IV line and moving faster than she had moved all week. Another nurse came through the door already pulling on gloves. His wife's eyes were open but she was looking at a point on the ceiling that was not the television and was not him and was not anything.,affective,B-terror-d2-v2
B-terror-d2-v3,terror,peak,2,"Medical crisis (diagnosis, emergency)",N-terror-d2-c3,119,"She was twenty-six weeks along and the liquid on the bathroom floor was not what it was supposed to be. The color was wrong. She sat on the edge of the bathtub and looked at it. She could feel the baby move, which meant the baby was still moving, which was the only fact she had. Her phone was in the kitchen. The kitchen was down the stairs. She stood up and the room changed shape for a moment and then came back. She held the doorframe. The car keys were on the hook by the front door. The hospital was eleven minutes away. She knew it was eleven minutes because she had driven it twice already as practice.",affective,B-terror-d2-v3
B-terror-d2-v4,terror,peak,2,"Medical crisis (diagnosis, emergency)",N-terror-d2-c4,115,The allergist had said the reaction would be mild. That was what the allergist had said. The boy's lips had changed shape in the first ninety seconds. His father was holding him and looking for the nurse who had been there a moment ago. The hallway was empty. He looked at the boy's neck. The skin was different than it had been when they walked in. He looked at the desk. No one. He looked at the door at the end of the hall. He could not remember if it led to the main corridor or to a storage room. The boy in his arms was making a sound that was not his normal sound.,affective,B-terror-d2-v4
B-terror-d3-v2,terror,peak,3,"Psychological threat (stalking, loss of control)",N-terror-d3-c2,102,"He had checked the locks four times. He had checked them because the man who had been released from the facility on Tuesday knew his address. The court liaison had called to inform him, the way they were required to. The call lasted forty-five seconds. There were no conditions of distance. There was no monitoring. The man had been in the facility for what he had done in this house, in the room where he now checked the locks, and now the man was in the same city again and there was a number to call if something happened. Not before. If.",affective,B-terror-d3-v2
B-ecstasy-d1-v1,ecstasy,peak,1,"Achievement (breakthrough, recognition)",N-ecstasy-d1-c1,121,"The email had one line. ""The committee has voted unanimously to award the grant."" She read it four times. The lab was empty because it was 6 a.m. and she had been the only one checking. She stood up from the desk and sat back down and stood up again. The grant was the one she had applied for nine times. Nine years. She walked to the window and opened it, and the air outside was cold and she stood in it. Then she picked up the phone and called her mother, and when her mother answered she couldn't say anything, so she just held the phone and her mother said ""What? What is it?"" and she still couldn't say anything.",affective,B-ecstasy-d1-v1
B-ecstasy-d1-v2,ecstasy,peak,1,"Achievement (breakthrough, recognition)",N-ecstasy-d1-c2,120,"His name was on the board. He had to read it twice because the letters didn't make sense the first time — they were his letters, his name, but they were on the board and the board was the list and the list was the people who had passed. He had failed the exam twice before. He had studied in the kitchen of his apartment for fourteen months. His wife had quizzed him on terms she couldn't pronounce while their daughter slept in the next room. His name was on the board. He took a photograph of it and then took another photograph of it and then a third, because two might not be enough evidence that this was real.",affective,B-ecstasy-d1-v2
B-ecstasy-d1-v3,ecstasy,peak,1,"Achievement (breakthrough, recognition)",N-ecstasy-d1-c3,130,"The final time on the clock was 3:58:12. She looked at it and then looked at her coach on the other side of the barrier and he was already moving toward her. She had run this distance six hundred times. She had never run it in under four minutes. No one at this level from her country had. The time was on the clock and the clock was official and the number was real. She put both hands on top of her head, which is what her body chose to do, and she walked in a circle, and then she stopped walking and stood still, and the sound from the stands reached her in a way that seemed delayed, as if it had to travel further than the actual distance.",affective,B-ecstasy-d1-v3
B-ecstasy-d1-v4,ecstasy,peak,1,"Achievement (breakthrough, recognition)",N-ecstasy-d1-c4,104,The jury had been out for eleven minutes. Eleven minutes for a career he'd spent twenty-three years building. The foreman handed the sheet to the clerk. The clerk read the name of the piece. Then the clerk read the word that meant he had won. The room was applauding but he was looking at his hands. His hands had made the thing they were applauding. He had fired the kiln forty-one times to get the glaze right. He had broken every version that wasn't. His teacher had died four years ago and would have known what this meant. He was looking at his hands.,affective,B-ecstasy-d1-v4
B-ecstasy-d2-v3,ecstasy,peak,2,"Connection (reunion, belonging)",N-ecstasy-d2-c3,116,"He had not spoken to his brother in eleven years. The call came on a Tuesday. His brother said, ""I'm outside."" He walked to the front door and opened it. His brother was standing on the porch with a suitcase, as if he had come a long way or was planning to stay. Neither of them said anything. His brother's hair was gray now. His own was too. Eleven years was longer than either of them had intended. He opened the door wider and his brother stepped inside and they stood in the hallway where they had grown up, and neither of them moved to close the door, and the afternoon came in with the light.",affective,B-ecstasy-d2-v3
B-ecstasy-d3-v2,ecstasy,peak,3,"Discovery (revelation, wonder)",N-ecstasy-d3-c2,111,"She had been diving the same reef for twenty years and she had never seen the cavern entrance before. The tide had shifted something. She swam through the gap and the space opened. The light came through from above in columns that reached the sand floor, and in the light there were fish she had no names for, moving in formations she had not seen in any reference, around coral structures that should not have been possible at this depth. She had forty minutes of air. She could have surfaced and come back. She didn't. She stayed and turned in a slow circle and the circle was full in every direction.",affective,B-ecstasy-d3-v2
B-ecstasy-d3-v3,ecstasy,peak,3,"Discovery (revelation, wonder)",N-ecstasy-d3-c3,119,"The telescope had been pointed at the same region for four months. The signal was noise. Then it was not noise. The line on the spectrograph separated into two peaks where every model predicted one. She called her colleague over. He looked at it. He looked at her. He looked at it again. She printed the graph and held it up to the overhead light as if seeing it on paper would change it. It didn't change. Two peaks. Not one. This meant that a thing that was supposed to be one thing was two things, and if it was two things, then everything that followed from it being one thing would need to be recalculated from the beginning.",affective,B-ecstasy-d3-v3
B-loathing-d2-v4,loathing,peak,2,"Visceral revulsion (contamination, decay)",N-loathing-d2-c4,123,"The hotel room looked clean until she pulled back the bedspread. The sheet underneath had been made to look fresh — tucked, smoothed, corners folded. But the fabric had stains that were body-shaped in a way that matched the position of a person who had slept there. She lifted the pillow. Underneath was a used adhesive bandage and a strand of hair that was not hers. The sink in the bathroom had a ring at the waterline. The towels were folded but when she held one to the light, she could see the outline of a previous use that the wash cycle had not fully removed. She put the towel down. She put the pillow down. She did not sit on the bed.",affective,B-loathing-d2-v4
B-loathing-d3-v1,loathing,peak,3,Social betrayal (hypocrisy exposed),N-loathing-d3-c1,107,"The pastor had preached about family every Sunday for twelve years. He had counseled couples in his office. He had held the hands of women whose marriages were failing and told them that commitment was a choice made daily. The photographs were from a private account that had been made public by the platform's security failure. They showed the pastor in hotel rooms in three different cities with three different people, none of whom was his wife. The metadata on the photographs spanned eighteen months. The most recent was dated two days before a sermon she had attended, in which he spoke about the meaning of trust.",affective,B-loathing-d3-v1
B-loathing-d3-v2,loathing,peak,3,Social betrayal (hypocrisy exposed),N-loathing-d3-c2,97,"The politician had campaigned on clean water. Three terms, twelve years, clean water in every speech. Her voting record was public. She had voted against the water treatment funding bill four times. Each time, the bill had failed by one vote. Her financial disclosures were also public, though they required cross-referencing with corporate filings to understand. The company that supplied the untreated alternative — the cheaper process, the one the bill would have replaced — had paid her consulting firm a retainer for eleven of the twelve years. The consulting firm was registered to her home address.",affective,B-loathing-d3-v2
B-loathing-d3-v4,loathing,peak,3,Social betrayal (hypocrisy exposed),N-loathing-d3-c4,111,"The judge had sentenced forty-three people in drug cases over two years. Mandatory minimums. No exceptions. ""The law is the law,"" she had said from the bench, and it was quoted in the local paper each time. Her son's arrest was processed in a different county, which is why the record didn't surface until a clerk noticed the shared surname during a database merge. Possession. Same substance, same quantity range as eleven of the forty-three cases. Her son received a deferred adjudication and community service. The judge who handled his case had been a law school classmate of his mother. The forty-three people she had sentenced were still serving their terms.",affective,B-loathing-d3-v4
B-amazement-d1-v1,amazement,peak,1,"Natural phenomenon (scale, beauty)",N-amazement-d1-c1,111,"She had pulled over because the road was too dark to drive safely. When she got out of the car to check the tires, she looked up. The sky was moving. Green light was crossing the entire visible horizon, folding over itself in shapes that changed faster than she could track. She had read about this. Reading about it and seeing it were not the same category of experience. The light had structure — curtains, columns, ripples that moved like fabric in wind, except there was no fabric and the scale was the size of the sky. She stood in the road. A car passed and honked. She did not move.",affective,B-amazement-d1-v1
B-amazement-d1-v4,amazement,peak,1,"Natural phenomenon (scale, beauty)",N-amazement-d1-c4,124,"The earthquake had been over for forty seconds when the ocean began to pull back from the shore. The water retreated past the tide line, past the rocks, past the point where the seabed had always been underwater. Fish were on the exposed sand, moving. Shells and stones that had not been in air for decades were in air. The floor of the sea was visible for a quarter mile. The people on the beach were standing still, all of them, facing the same direction, watching the water leave. No one was speaking. The horizon line, where the water had gathered, was rising. It was rising and it was coming back, and it was not going to come back as the ocean they knew.",affective,B-amazement-d1-v4
B-amazement-d2-v3,amazement,peak,2,Human capability (unexpected heroism),N-amazement-d2-c3,129,The boat had capsized in water too cold to survive for more than twenty minutes. There were six people in the water. The nearest coast guard vessel was forty-five minutes away. A fishing boat reached them in eleven minutes. The fisherman pulled all six out of the water by himself. He was sixty-three years old and his boat was nine meters long and there was no winch and no ladder. He used a net and his arms. The sixth person had stopped moving. The fisherman put his mouth on the man's mouth and his hands on the man's chest in the pattern he had learned from a poster in the harbor office twenty years ago. He did this for fourteen minutes. The man's chest began moving on its own.,affective,B-amazement-d2-v3
B-amazement-d2-v4,amazement,peak,2,Human capability (unexpected heroism),N-amazement-d2-c4,128,"The girl was seven years old and she had been missing for three days. The search teams had covered the grid. The dogs had lost the scent at the river. On the fourth morning, a volunteer who was not assigned to any grid walked into a section of forest that had already been searched. He walked for two hours past the boundary of the searched area, into terrain the coordinators had ruled out because a seven-year-old could not have crossed it. He found her in a hollow formed by two fallen trees. She had built a structure from branches and leaves. She had collected rainwater in a boot. She looked at the volunteer and said, ""I knew someone would come, so I stayed where I could be dry.""",affective,B-amazement-d2-v4
B-amazement-d3-v1,amazement,peak,3,Intellectual revelation (paradigm shift),N-amazement-d3-c1,137,"He was a mechanic. He had gone to the lecture because his daughter was presenting her graduate research and he wanted to be in the room. He understood nothing for the first twenty minutes. Then she put up a diagram. It was a diagram of a system with feedback loops, and the system was not working the way it was supposed to, and she was explaining why. He looked at the diagram and he realized he knew why. It was the same reason a transmission fails when the fluid pressure loop can't self-correct. The same structure. He was a mechanic and his daughter was a computational biologist and they had been working on the same problem in different languages for thirty years. He sat in his chair and the building he was in became a different building.",affective,B-amazement-d3-v1
B-amazement-d3-v2,amazement,peak,3,Intellectual revelation (paradigm shift),N-amazement-d3-c2,143,"The translator had been working on the manuscript for two years, assuming it was a merchant's inventory — lists of goods, quantities, trade routes. Standard ancient commerce. Then she noticed that the quantities were wrong. No merchant would ship three hundred units of lamp oil to a city that had no record of importing lamp oil. She cross-referenced the numbers with a calendar system from a different civilization, one that had no known contact with the manuscript's origin. The numbers aligned. They were not quantities. They were dates. The merchant's inventory was an astronomical calendar disguised as a trade ledger, written by someone who understood two civilizations that historians had believed were separated by a thousand miles and three centuries. The translator put down her pen because the next line she translated would be in a field she had not been trained in.",affective,B-amazement-d3-v2
B-admiration-d1-v1,admiration,peak,1,"Competence (mastery, skill)",N-admiration-d1-c1,132,"The apprentice had been watching the glassblower for four years. In four years he had never seen her repeat a motion unnecessarily. Every movement of the pipe, every rotation, every breath into the molten shape was the exact movement required and nothing more. Other glassblowers compensated — adjusting, correcting, recovering. She did not need to recover because she did not make the error that required recovery. He had timed her once, secretly, with a stopwatch, comparing her to the videos of the masters in the guild archive. She was faster. Not because she moved quickly, but because she never moved twice where once was enough. He had been her apprentice for four years, and in four years the distance between his craft and hers had not closed. It had become more visible.",affective,B-admiration-d1-v1
B-admiration-d1-v2,admiration,peak,1,"Competence (mastery, skill)",N-admiration-d1-c2,124,"The interpreter was working between two languages and a courtroom full of people who didn't know what they were witnessing. The defendant spoke in long, unpunctuated sentences — clauses folding into each other, tense shifting mid-thought, idioms from a regional dialect that had no direct equivalent. The interpreter rendered each sentence into English without pause, without simplification, and without losing the structure that made the defendant's meaning his own and not someone else's. The judge did not notice. The attorneys did not notice. The defendant noticed. When the interpreter finished a passage that contained a proverb his grandmother had used, the defendant looked at her for the first time, and what passed between them was the recognition that his words had survived the crossing.",affective,B-admiration-d1-v2
B-admiration-d1-v3,admiration,peak,1,"Competence (mastery, skill)",N-admiration-d1-c3,149,"The teacher had been at the school for thirty-one years. She taught sixth grade. Every year, the parents of the incoming class would ask the parents of the outgoing class about her, and the answer was always a version of the same thing: she knew where each child was. Not their desk. Where they were — in their understanding, in their confidence, in the distance between what they could do last month and what they could do now. She held this map for twenty-eight students simultaneously, and she adjusted it daily, and she never wrote it down because it was not the kind of thing that fit on paper. Former students came back to visit her. They came back at seventeen and at twenty-five and at forty, and they told her things they had not told anyone else, because she had been the first person to see them accurately.",affective,B-admiration-d1-v3
B-admiration-d1-v4,admiration,peak,1,"Competence (mastery, skill)",N-admiration-d1-c4,119,"The surgeon's hands were the thing people talked about. Not his results — his results were in the database, comparable to others at his level. His hands. The residents watched them during procedures. The motions were small and they were certain and they did not contain anything extra. A resident once said that watching him operate was like watching someone write in a language that had no unnecessary letters. He operated on structures that were millimeters apart, and his instruments moved between them the way a sentence moves between words — without confusion about where one ended and the next began. He had been doing this for twenty-six years. His hands had not changed speed. They had changed precision.",affective,B-admiration-d1-v4
B-admiration-d2-v1,admiration,peak,2,"Moral character (sacrifice, integrity)",N-admiration-d2-c1,135,"The accountant had reported his own firm. The irregularities were ones he had found, in accounts he managed, producing revenue that paid his salary. He reported them knowing what would happen: the investigation, the firm's closure, the loss of his position, the years of litigation during which no one in the industry would hire a person who had done what he did. He reported them because the accounts belonged to people who would not have found the irregularities themselves, and those people would have continued to lose money that they could not afford to lose. He was asked, afterward, by many people, why. His answer was the same each time: the accounts were not abstractions. They were the retirement savings of specific people whose names were on the files, and he had seen the names.",affective,B-admiration-d2-v1
B-admiration-d2-v2,admiration,peak,2,"Moral character (sacrifice, integrity)",N-admiration-d2-c2,124,"The woman had been fostering children for twenty-two years. Not the easy placements. The ones the system called ""difficult,"" which meant: the ones who had learned that adults leave. She had taken in forty-one children. Some stayed for months. Some stayed for years. Every one of them left, because that was the structure — foster care is temporary by design. She set the table for them. She learned what they would eat and what they wouldn't. She kept their drawings on the refrigerator and she did not take them down when the children left. The refrigerator was covered, layered, years deep. A caseworker once asked her how she did it — the repeated attachment and loss. She said she didn't do it for herself.",affective,B-admiration-d2-v2
B-admiration-d2-v3,admiration,peak,2,"Moral character (sacrifice, integrity)",N-admiration-d2-c3,142,"The journalist had the story. It would have been the largest of her career. The source was a minor — seventeen years old, a witness to something that would have ended careers and possibly led to indictments. Publishing the story with the source's testimony would have been legal. The source had consented. The source's parents had consented. The editor wanted it. The journalist sat with the transcript for two days. Then she removed every identifiable detail from the source's testimony and published the story without the strongest evidence. It ran on page four instead of page one. The careers continued. The indictments did not come. The seventeen-year-old was not named in any database, and would not be found by anyone searching for the story ten years from now. The journalist's colleagues did not understand. The editor moved her to a different beat.",affective,B-admiration-d2-v3
B-admiration-d2-v4,admiration,peak,2,"Moral character (sacrifice, integrity)",N-admiration-d2-c4,140,"The doctor had been offered the position three times. Chief of the department. More money. An office with his name on the door. A title that would follow his name in print. Each time, he declined. Each time, the reason was the same: the position required administrative days, and administrative days were days he would not be in the clinic. The clinic was in a part of the city where the next nearest doctor who spoke the patients' language was forty minutes away by bus. He had been there for nineteen years. Some of the patients he saw now were the children of patients he had seen when he first arrived. He chose the clinic over the title three times, and the third time, the hospital stopped asking, and the patients did not know there had ever been a question.",affective,B-admiration-d2-v4
B-admiration-d3-v2,admiration,peak,3,Resilience (endurance against odds),N-admiration-d3-c2,131,"He had been rejected from the program seven times. Seven applications, seven years. Each year, the letter arrived in March. Each year, the letter said no. Each year, he revised the application — not cosmetically but structurally, tearing apart what he had built and rebuilding it from the foundation. He did not know if the committee noticed. He worked during the day as a technician in the same building where the program operated, and he passed the offices of the people who had rejected him every morning on his way to the equipment room. On the eighth year, the letter said yes. He was forty-one years old. He had been twenty-seven the first time he had stood at the threshold of this work. He had not once walked a different direction.",affective,B-admiration-d3-v2
B-admiration-d3-v3,admiration,peak,3,Resilience (endurance against odds),N-admiration-d3-c3,146,"The runner had finished last. She had finished last in every race for two years, since the accident that had rebuilt her left leg from the knee down with hardware that the manufacturer had not designed for competitive use. She ran anyway. She ran last and she finished and she walked through the finish area the same way the first-place finisher did — collecting her tag, checking her time, noting what to work on. The other runners had stopped noticing that she was last a long time ago. What they noticed was that she was at the starting line. Every race. Same preparation, same focus, same routine. The gap between her time and the field was getting smaller by increments so small that only the timing system could detect them. She could detect them. She checked the numbers after every race and the numbers were moving.",affective,B-admiration-d3-v3
B-vigilance-d1-v1,vigilance,peak,1,Protective watch (child in danger),N-vigilance-d1-c1,138,"The boy was three years old and he was playing at the edge of the pond. His mother was eleven feet away, seated on the bench but not resting against the back. Her weight was forward, on the front of the seat. The water was eighteen inches deep at the edge and the bottom was mud, not sand, which meant footing was uncertain. The boy picked up a stick and swung it. She tracked the arc. A dog approached from the left and the boy turned toward it, away from the water, and she adjusted — she was now watching the dog and the boy and the distance between the boy and the water, all three simultaneously. Her coffee was in her hand. It had been in her hand for twenty minutes. She had not taken a sip.",affective,B-vigilance-d1-v1
B-vigilance-d1-v3,vigilance,peak,1,Protective watch (child in danger),N-vigilance-d1-c3,127,"The toddler was asleep, but she had not left the doorway. The fever had been 103.4 an hour ago and 103.1 thirty minutes ago and she was tracking the interval between the numbers, looking for the slope of the line. The pediatrician had said to call if it reached 104. She had the phone in her hand with the number already entered, one button away. The medicine had been given forty-two minutes ago. It should begin working between forty-five and sixty minutes. She was in the window between the medicine being given and the medicine working, and in that window there was nothing to do except watch the child's chest rise and fall and count the seconds between the rises and note whether the intervals were even.",affective,B-vigilance-d1-v3
B-vigilance-d2-v2,vigilance,peak,2,Strategic anticipation (high-stakes decision),N-vigilance-d2-c2,133,"The negotiator had been in the room for seven hours. The man on the other side of the door had not spoken in the last forty minutes. Silence after sustained communication was the pattern the negotiator tracked most carefully, because it was the interval in which decisions were made. He had a diagram in his notebook — a timeline of every word, every pause, every noise from inside the room, marked by minute. The forty minutes of silence had a shape. The first fifteen had ambient sound — movement, objects being shifted. The next ten had stillness. The last fifteen had a single repeated sound at irregular intervals. He was listening to the intervals between the repetitions, because the intervals were getting shorter, and shortening intervals meant the pattern was approaching a conclusion.",affective,B-vigilance-d2-v2
B-vigilance-d2-v3,vigilance,peak,2,Strategic anticipation (high-stakes decision),N-vigilance-d2-c3,134,"The trader had three screens and she was watching all of them. The position was open. The market was approaching the level where the trade would either confirm or reverse, and the level was eleven points away. She had calculated the level from data going back fourteen months. She had set no automatic trigger because the decision at that level depended on velocity — not just whether the market reached the number, but how fast it arrived, and whether the volume pattern at arrival matched the pattern from the three previous approaches to the same level. Two of those approaches had reversed. One had broken through. She needed to see the order flow in the final seconds to distinguish which pattern was forming, and that could not be automated. Eleven points. She was watching.",affective,B-vigilance-d2-v3
B-vigilance-d3-v1,vigilance,peak,3,Environmental scanning (predator awareness),N-vigilance-d3-c1,142,"The ranger had been sitting in the blind since 4 a.m. The radio report at midnight had placed the injured male within two miles of the village boundary. The animal was wounded, and wounded animals do not follow established paths. It was moving toward a populated area, which made it a priority. She had a map with twelve-hour, six-hour, and one-hour probability circles drawn in concentric rings. The one-hour circle included the path she was watching. The ground was dry, which meant tracks would be shallow and easy to miss. She had positioned herself downwind. Every six minutes she scanned left to right through the binoculars, then listened for thirty seconds with them down. She had been doing this for five hours. The pattern had not varied. The coffee thermos was behind her, unopened, because opening it would create a scent plume.",affective,B-vigilance-d3-v1
